bhk,type,area_sq_ft,location,price_lakh,carpet_area,status,bathrooms
2,Independent,800,Surendra Nagar,45,799,StatusReady,2
2,Independent,800,Chinhut,40,799,StatusReady,1
2,Independent,800,Takrohi,40,790,StatusReady,2
2,Independent,800,Harihar Nagar,40,799,StatusReady,2
2,Independent,800,Munshi Pulia,40,799,StatusReady,2
2,Independent,800,Indira Nagar,44,799,StatusReady,2
2,Independent,1001,Kursi Road,30,740,StatusReady,2
2,Villa,1200,Chinhat,50,,StatusReady,2
2,Independent,1001,Sitapur Road,25,740,StatusReady,1
2,Villa,1400,Chinhat,50,,StatusReady,2
2,Villa,1000,Chinhat,49,,StatusReady,2
2,Villa,1250,Uattardhona,45.5,,StatusReady,2
2,Villa,1001,Kursi Road,40,740,StatusReady,2
2,Villa,901,Sitapur Road,22.5,700,StatusReady,2
3,Independent,1260,Vikas Nagar,45,1000,StatusReady,3
2,Villa,1000,Amity University Road University Road,50,,StatusReady,2
2,Villa,1000,Amity University Road,49,,StatusReady,2
2,Villa,1250,Amity University Road,50,,StatusReady,2
2,Villa,1250,Uattardhona,46,,StatusReady,2
2,Villa,1000,Lucknow Road,30,740,StatusReady,2
2,Villa,800,Amity University Road,45,,StatusReady,2
2,Villa,1000,Uattardhona,42,,StatusReady,2
2,Independent,800,Indira Nagar,40,799,StatusReady,2
2,Villa,1250,Tiwariganj,46,,StatusReady,2
2,Villa,1250,Safedabad,45,1000,StatusReady,2
2,Villa,1000,Safedabad,45,,StatusReady,2
2,Independent,866,Raibareilly Road,20,800,StatusReady,2
2,Independent,1006,Kursi Road,40,740,StatusUnder,2
3,Independent,1300,Sultanpur Road,47,1200,StatusReady,2
3,Villa,1300,Sultanpur Road,47,1200,StatusUnder,2
2,Independent,900,Raibareilly Road,22,800,StatusUnder,2
2,Villa,1350,Malhaur,46,1100,StatusUnder,2
2,Villa,1250,Gomti Nagar,46,1100,StatusReady,2
2,Independent,1000,Raibareilly Road,28,950,StatusReady,2
2,Villa,1200,Raibareilly Road,28.99,1000,StatusUnder,2
2,Independent,1000,Kursi Road,30,704,StatusReady,2
2,Independent,900,Bakshi Ka Talab Talab,22.5,,StatusUnder,2
2,Independent,1000,Kursi Road,30,,StatusReady,2
2,Independent,1000,Kursi Road,30,900,StatusReady,2
2,Independent,1000,Bakshi Ka Talab Talab,32,900,StatusReady,2
2,Independent,966,Kursi Road,35,734,StatusReady,2
2,Independent,1000,Sitapur Road,32,900,StatusUnder,2
2,Independent,1100,Sitapur Road,42,,StatusReady,2
2,Independent,966,Kursi Road,35,,StatusUnder,2
2,Independent,1000,Kursi Road,30,,StatusUnder,2
2,Independent,1000,Bakshi Ka Talab Talab,32,,StatusReady,2
2,Independent,1250,Kursi Road,38,977,StatusReady,2
2,Independent,1200,Bakshi Ka Talab Talab,30,,StatusUnder,2
2,Independent,1003,Sitapur Road,25,740,StatusReady,2
2,Villa,1003,Kursi Road,30,740,StatusReady,2
2,Independent,1000,Bakshi Ka Talab Talab,25,740,StatusReady,2
2,Independent,1000,Gomti Nagar,46,999,StatusReady,2
4,Independent,1478,Royal City,40,1000,StatusReady,2
2,Villa,1000,Faizabad Road,46,,StatusUnder,2
2,Villa,1250,Faizabad Road,46,1000,StatusReady,2
1,Independent,440,Vrindavan Yojna,32,430,StatusReady,1
3,Independent,1500,Aurangabad Khalsa,45,,StatusReady,2
2,Villa,1250,Chinhat,50,1000,StatusReady,2
2,Villa,1250,Anora Kala,49.5,,StatusReady,2
2,Villa,1250,Chinhat,49.9,1000,StatusReady,2
2,Villa,1000,Safedabad,50,,StatusReady,2
3,Independent,1400,Sitapur Road,45,1000,StatusReady,2
2,Villa,750,Amity University Road,38,,StatusUnder,2
2,Villa,1250,Faizabad Road,46,,StatusReady,2
2,Villa,1000,Malhaur,50,,StatusReady,2
2,Villa,1250,Faizabad Road,49,1000,StatusReady,2
3,Villa,1200,Gomti Nagar,42,,StatusReady,2
2,Independent,900,Bakshi Ka Talab Talab,22.5,700,StatusReady,2
2,Villa,1250,Faizabad Road,48,1000,StatusReady,2
2,Villa,1000,Uattardhona,45,,StatusReady,2
2,Villa,1250,Uattardhona,47,,StatusReady,2
2,Villa,1250,Janki,45,1000,StatusReady,2
2,Villa,1200,Faizabad Road,47.99,1000,StatusReady,2
2,Villa,1250,Gomti Nagar,46,1000,StatusReady,2
2,Villa,1250,Chinhat,46,,StatusUnder,2
