index,psraid,sample,int_date,lang,usr,cregion,state,form,sex,q1,q3,eminuse,intmob,intfreq,home4nw,bbhome1,bbhome2,bbhome3a,bbhome3b,bbhome3c,bbhome3d,bbhome3e,device1a,smart1,q4,bbsmart1,bbsmart2,bbsmart3a,bbsmart3b,bbsmart3c,bbsmart3d,bbsmart3e,bbsmart3f,bbsmart4,cable1,cable2,cable3a,cable3b,cable3c,act19,act87a,act87b,act137,q5a,q5b,q5c,q5d,q5e,q5f,date1a,date2a,date3a,date3b,date4a,date4b,date4c,date4d,date4e,date4f,game1,game2a,game2b,game2c,game2d,game2e,game2f,game3a,game3b,game4,emplnw,emptype1,emptype2,emptype3,stud,job1a,job1b,job1c,job1d,job1e,job1f,job2,job3a,job3b,job3c,job3d,job3e,job3f,job3g,job3h,job4,smjob1,smjob2a,smjob2b,smjob2c,smjob2d,smjob2e,smjob3,smjob4a,smjob4b,smjob4c,smjob4d,smjob4e,snsjob1a,snsjob1b,snsjob1c,snsjob2a,snsjob2b,job5a,job5b,job5c,job5d,auto1a,auto1b,auto1c,auto1d,auto1e,auto2,auto3,age,marital,hh1,par,kidage1,kidage2,kidage3,educ2,edinst,disa,party,partyln,ideo,hisp,birth_hisp,race,inc,ql1a,qc1,zipcode,weight,standwt
1028,201319,2,62015,1,U,3,12,1,1,2,2,1,1,2,1,2, ,3,8,8,1,8, ,1, , , , , , , , , , ,1, , , , ,2,2, ,2,2,1,1, , , ,2,2,2,2,8,9,8,8,8,8,2,8,8,8,8,8,8,8,8, ,2,7,2,1,3,1,1,2,9,3,2,2, , , , , , , , , ,2, , , , , , , , , , , , , , , , ,1,1,1,2,4,4,4,4,4,2,2,67,1,2,2, , , ,8, ,2,2, ,5,2, ,4,8, ,2,33901,3.41935483870968,1.09171005804017
1029,201321,2,62015,1,U,4,6,2,1,2,2,1,1,1,1,2, ,1,1,2,1,2, ,1, , , , , , , , , , ,1, , , , ,1, ,1,1, , , ,1,1,1,2,2,1,2,1,2,1,2,2,2,1,3,2,3,3,3,2,1,1,2,2,5,2,4,1,1,2,2,1,1,2,1,1,1,2,1,2,2,2,2,1,2, , , , , , , , , , , ,1,2,2,2,2,1,2,2,1,4,4,4,4,4,2,2,20,6,6,2, , , ,3,2,2,2, ,5,2, ,1,9, ,1,90024,3.25806451612903,1.04021430058545
1030,201326,2,62015,1,R,1,42,2,2,1,2,1,1,1,1,2, ,1,1,1,1,1, ,1, , , , , , , , , , ,2,2,1,1,1,1, ,1,2, , , ,2,2,1,1,1,1,2,1,2,2,2,1,1,2,2,1,2,2,3,3,1,2, ,2,3,1, ,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,2,1,1,1,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,4,4,4,4,4,1,2,19,6,2,2, , , ,4,2,2,3,8,3,2, ,1,6, ,1,17844,6.45161290322581,2.059830298189
1031,201335,2,62015,1,S,4,6,2,2,2,3,1,1,1,2, , ,3,3,2,2,3, ,8,98,1,2,1,1, ,2,2,2,1,2,2,2,1,1,2, ,1,2, , , ,2,2,2,1, ,1,2,2,2,1,1,1,1,1,8,8,2,8,8,1,1,1,2,3, , , ,3, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2, , , , , , , , , , ,3,56,3,2,2, , , ,3, ,1,2, ,5,2, ,1,1, ,2,93308,3.41935483870968,1.09171005804017
1032,201342,2,62015,1,U,4,32,2,1,1,2,1,1,1,1,2, ,1,1,1,1,1, ,1, , , , , , , , , , ,1, , , , ,1, ,1,1, , , ,1,1,1,2,2,1,1,1,1,2,2,1,2,1,1,3,3,1,3,1,1,2,2,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,1,1,1,2,2,1,2,2,2,2,2,2,1,1,1,1,2,1,1,1,2,3,4,4,2,4,3,1,46,1,4,2, , , ,5, ,2,2, ,4,2, ,1,9, ,2,89135,4.2258064516129,1.3491888453138
1033,201347,2,62015,1,S,3,48,2,2,2,2,1,1,1,1,2, ,2,2,2,2,2, ,1, , , , , , , , , , ,1, , , , ,1, ,1,1, , , ,1,1,1,2,2,2,2,1,1,2,2,1,1,1,2,8,8,2,2,2,1,2,2,4, , , ,3,3,1,1,1,1,1,1,2,1,2,1,2,1,2,2,4,1,1,2,1,2,1,1,2,1,1,2,2,2,2,2,2,2, , , , , , , , , , ,2,21,2,2,1,1,0,0,3, ,2,3,8,8,1,1,1,1, ,2,78666,4.29032258064516,1.36978714829569
1034,201368,2,62015,1,S,3,37,1,2,1,1,1,1,2,1,2, ,1,1,1,1,1, ,1, , , , , , , , , , ,2,1,1,1,1,1,1, ,1,1,1,1, , , ,2,2,1,1,1,8,2,2,1,2,1,2,2,2,2,2,8,1,8,2,1,6,2,2,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,1,1,2,2,2,1,2,1,1,2,2,1,1,1,1,2,2,1,1,1,1,4,4,4,4,4,1,3,34,1,4,1,0,1,2,8, ,2,3,2,4,2, ,1,6, ,2,28112,2.64516129032258,0.844530422257491
1035,201372,2,62915,1,S,4,53,1,1,1,3,1,1,3,1,2, ,2,2,1,2,1, ,2,2, , , , , , , , , ,1, , , , ,2,2, ,2,2,2,2, , , ,2, ,2,2,1,1,2,2,1,2,2,3,1,3,8,8,3,1,1, ,3, , , ,3, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,55,6,1,2, , , ,3, ,1,1, ,2,2, ,1,98, ,2,98755,3.61290322580645,1.15350496698584
1036,201374,2,62015,1,U,4,6,1,1,1,3,1,1,1,1,2, ,1,1,1,1,1, ,1, , , , , , , , , , ,1, , , , ,1,1, ,2,1,2,1, , , ,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,1,2,1,4, , , ,3,1,1,1,1,1,1,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2, , , , , , , , , , ,1,34,6,2,2, , , ,4, ,2,2, ,5,2, ,1,8, ,1,92116,5.54838709677419,1.77145405644254
1037,201378,2,62315,1,U,4,53,1,2,1,1,1,2,2,1,2, ,3,3,3,3,3, ,2,1, , , , , , , , , ,2,2,1,2,2,2,2, ,2,2,2,2, , , ,2, ,2,1,2,2,2,2,2,1,2,3,1,2,3,8,3,1,1, ,4, , , ,3,2,1,1,1,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,37,1,2,1,0,1,1,5, ,2,3,1,2,2, ,1,6, ,1,98225,5.25806451612903,1.67876169302404
