"Language","Endonym","World Region","Country","Global Speakers","Language Family","Location","Size","Status"
"Brazilian Portuguese","Português Brasileiro","South America","Brazil","205,000,000","Indo-European","Astoria","Medium","Residential"
"Brazilian Portuguese","Português Brasileiro","South America","Brazil","205,000,000","Indo-European","Midtown","Medium","Community"
"Breton","Brezhoneg","Western Europe","France","206,000","Indo-European","Hell's Kitchen","Smallest","Historical"
"Breton","Brezhoneg","Western Europe","France","206,000","Indo-European","Astoria","Small","Residential"
"Breton","Brezhoneg","Western Europe","France","206,000","Indo-European","Milltown (NJ)","Small","Historical"
"Bribri","Bribri","Central America","Costa Rica","7,000","Chibchan","Paterson (NJ)","Smallest","Residential"
"British English","British English","Northern Europe","United Kingdom","67,886,004","Indo-European","Upper East Side","Medium","Residential"
"Buginese","","Southeastern Asia","Indonesia,
Malaysia","4,027,800","Austronesian","Elmhurst","Smallest","Residential"
"Buginese","","Southeastern Asia","Indonesia,
Malaysia","4,027,800","Austronesian","Astoria","Smallest","Community"
"Bukhori","בוכארי","Central Asia","Israel,
United States,
Uzbekistan","110,600","Indo-European","Midtown","Small","Community"
"Bukhori","בוכארי","Central Asia","Israel,
United States,
Uzbekistan","110,600","Indo-European","Kensington","Small","Residential"
"Bukhori","בוכארי","Central Asia","Israel,
United States,
Uzbekistan","110,600","Indo-European","Forest Hills","Large","Residential"
"Bulgarian","Български","Eastern Europe","Bulgaria,
Turkey","8,144,880","Indo-European","Hell's Kitchen","Small","Residential"
"Bulgarian","Български","Eastern Europe","Bulgaria,
Turkey","8,144,880","Indo-European","University Heights","Small","Residential"
"Bulgarian Turkish","Bulgarca Türkçe","Southern Europe","Turkey,
Bulgaria","79,779,360","Turkic","Bensonhurst","Smallest","Residential"
"Buli","Kanjaga","Western Africa","Ghana","168,000","Austronesian","University Heights","Smallest","Residential"
"Bumthang","བུམ་ཐང་ཁ་","Southern Asia","Bhutan","20,000","Sino-Tibetan","Sunnyside","Smallest","Residential"
"Burmese","မြန်မာဘာသာ","Southeastern Asia","Myanmar","42,912,350","Sino-Tibetan","Midtown","Smallest","Community"
"Burmese","မြန်မာဘာသာ","Southeastern Asia","Myanmar","42,912,350","Sino-Tibetan","Manalapan Township (NJ)","Small","Community"
