"Language","Endonym","World Region","Country","Global Speakers","Language Family","Location","Size","Status"
"Iraqi Arabic","","Western Asia","Iraq","15,655,900","Afro-Asiatic","Bay Ridge","Small","Residential"
"Iraqi Judeo-Arabic","","Western Asia","Iraq,
Israel","125,120","Afro-Asiatic","Great Neck (NY)","Small","Residential"
"Iraqi Judeo-Arabic","","Western Asia","Iraq,
Israel","125,120","Afro-Asiatic","Jamaica Estates","Small","Residential"
"Irish","Gaeilge","Northern Europe","Ireland,
United Kingdom","1,171,000","Indo-European","Hell's Kitchen","Small","Community"
"Irish","Gaeilge","Northern Europe","Ireland,
United Kingdom","1,171,000","Indo-European","Long Island City","Medium","Community"
"Irish","Gaeilge","Northern Europe","Ireland,
United Kingdom","1,171,000","Indo-European","Woodlawn","Small","Residential"
"Irish","Gaeilge","Northern Europe","Ireland,
United Kingdom","1,171,000","Indo-European","Red Hook","Smallest","Community"
"Irish English","Irish English","Northern Europe","Ireland,
United States","4,904,000","Indo-European","Pearl River (NY)","Large","Residential"
"Irish English","Irish English","Northern Europe","Ireland,
United States","4,904,000","Indo-European","Woodlawn","Largest","Residential"
"Irish English","Irish English","Northern Europe","Ireland,
United States","4,904,000","Indo-European","Breezy Point","Largest","Residential"
"Irish English","Irish English","Northern Europe","Ireland,
United States","4,904,000","Indo-European","Middle Village","Largest","Residential"
"Irish English","Irish English","Northern Europe","Ireland,
United States","4,904,000","Indo-European","Gerritsen Beach","Largest","Residential"
"Irpino","Irpino","Southern Europe","Italy","5,700,000","Indo-European","Long Island City","Small","Residential"
"Isan","ภาษาอีสาน","Southeastern Asia","Thailand","21,000,000","Tai-Kadai","Elmhurst","Small","Residential"
"Ishkashimi","Šëkošmi","Central Asia","Afghanistan,
Tajikistan","3,000","Indo-European","Bensonhurst","Smallest","Residential"
"Istrioto","Istrioto","Southern Europe","Croatia,
Italy","400","Indo-European","Astoria","Smallest","Residential"
"Istro-Romanian","Vlashki","Southern Europe","Croatia","1,400","Indo-European","Park Slope","Smallest","Residential"
"Istro-Romanian","Vlashki","Southern Europe","Croatia","1,400","Indo-European","Astoria","Small","Residential"
"Istro-Veneto","Istroveneto","Southern Europe","Croatia,
Italy","","Indo-European","Astoria","Smallest","Residential"
"Italian","Italiano","Southern Europe","Italy","67,894,920","Indo-European","Belmont","Medium","Residential"
"Italian","Italiano","Southern Europe","Italy","67,894,920","Indo-European","Bensonhurst","Large","Residential"
"Italian","Italiano","Southern Europe","Italy","67,894,920","Indo-European","East Harlem","Large","Historical"
"Italian","Italiano","Southern Europe","Italy","67,894,920","Indo-European","Silver Lake","Large","Residential"
"Italian","Italiano","Southern Europe","Italy","67,894,920","Indo-European","Little Italy","Large","Historical"
"Italian","Italiano","Southern Europe","Italy","67,894,920","Indo-European","South Ozone Park","Large","Residential"
"Italian English","Italian English","Northern America","United States","","Indo-European","Morris Park","Largest","Residential"
"Italian English","Italian English","Northern America","United States","","Indo-European","Middle Village","Largest","Residential"
"Italian English","Italian English","Northern America","United States","","Indo-European","Tuckahoe (NY)","Largest","Residential"
"Italian English","Italian English","Northern America","United States","","Indo-European","Dyker Heights","Largest","Residential"
"Italian English","Italian English","Northern America","United States","","Indo-European","Great Kills","Largest","Residential"
"Ixil","Ixil","Central America","Guatemala","83,600","Mayan","Corona","Smallest","Residential"
"Iyengar Tamil","ஐயங்கார்","Southern Asia","India","","Dravidian","Edison (NJ)","Smallest","Residential"
"Jamaican Patois","Patwa","Caribbean","Jamaica","3,200,000","Indo-European","Wakefield","Largest","Residential"
"Jamaican Patois","Patwa","Caribbean","Jamaica","3,200,000","Indo-European","Flatbush","Largest","Residential"
"Jamaican Patois","Patwa","Caribbean","Jamaica","3,200,000","Indo-European","East Flatbush","Largest","Residential"
"Jamaican Patois","Patwa","Caribbean","Jamaica","3,200,000","Indo-European","St. Albans","Largest","Residential"
"Jamaican Patois","Patwa","Caribbean","Jamaica","3,200,000","Indo-European","New Rochelle (NY)","Medium","Residential"
"Japanese","日本語","Eastern Asia","Japan","128,350,830","Japonic","East Williamsburg","Medium","Community"
"Japanese","日本語","Eastern Asia","Japan","128,350,830","Japonic","Lincoln Square","Smallest","Historical"
"Japanese","日本語","Eastern Asia","Japan","128,350,830","Japonic","Astoria","Medium","Residential"
"Japanese","日本語","Eastern Asia","Japan","128,350,830","Japonic","East Village","Large","Residential"
"Japanese","日本語","Eastern Asia","Japan","128,350,830","Japonic","Fort Lee (NJ)","Medium","Residential"
"Javanese","Basa Jawa","Eastern Asia","Indonesia","68,277,600","Austronesian","Elmhurst","Small","Residential"
"Jersey Dutch","Jersey Dutch","Northern America","United States","","Indo-European","Suffern (NY)","Medium","Historical"
"Jewish Babylonian Aramaic","","Western Asia","Israel,
United States","","Afro-Asiatic","Homecrest","Large","Liturgical"
"Jewish Babylonian Aramaic","","Western Asia","Israel,
United States","","Afro-Asiatic","Washington Heights","Large","Liturgical"
"Jewish English","Jewish English","Northern America","United States","","Indo-European","Monticello (NY)","Largest","Residential"
"Jewish English","Jewish English","Northern America","United States","","Indo-European","Kew Gardens Hills","Largest","Residential"
"Jewish English","Jewish English","Northern America","United States","","Indo-European","Borough Park","Largest","Residential"
"Jewish English","Jewish English","Northern America","United States","","Indo-European","Riverdale","Medium","Residential"
"Jewish English","Jewish English","Northern America","United States","","Indo-European","Hewlett (NY)","Largest","Residential"
"Jewish Neo-Aramaic (Bijar)","Hulaulá","Southern Asia","Iran,
Israel","10,000","Afro-Asiatic","Great Neck (NY)","Smallest","Residential"
"Jewish Neo-Aramaic (Sanandaj)","Lišana Nošan","Southern Asia","Iran,
Israel","","Afro-Asiatic","Rego Park","Smallest","Community"
"Jewish Neo-Aramaic (Urmia)","Lishán Didán","Southern Asia","Iran,
Israel","4,500","Afro-Asiatic","Great Neck (NY)","Small","Residential"
"Jewish Russian","","Eastern Europe","Russia,
Ukraine","","Indo-European","Brighton Beach","Largest","Residential"
"Jola","Joola","Western Africa","Senegal,
Gambia","45,100","Atlantic-Congo","Morrisania","Smallest","Residential"
"Juba Arabic","","Northern Africa","South Sudan","820,000","Afro-Asiatic","Central Harlem","Smallest","Residential"
"Judeo-Crimean Tatar","Krymchak","Eastern Europe","Ukraine,
Russia","202","Turkic","Ocean Hill-Brownsville","Smallest","Historical"
"Judeo-Georgian","","Western Asia","Georgia,
Israel","","Kartvelian","Forest Hills","Smallest","Residential"
"Judeo-Greek","Romaniyot","Southern Europe","Greece,
Israel","","Indo-European","Lower East Side","Smallest","Historical"
"Judeo-Hamadani","Ebri","Southern Asia","Iran,
Israel","","Indo-European","Forest Hills","Smallest","Residential"
"Judeo-Isfahani","","Southern Asia","Iran,
Israel","","Indo-European","Great Neck (NY)","Smallest","Residential"
"Judeo-Isfahani","","Southern Asia","Iran,
Israel","","Indo-European","Forest Hills","Smallest","Residential"
"Judeo-Kashani","Kâši","Southern Asia","Iran,
Israel","","Indo-European","Roslyn (NY)","Smallest","Residential"
"Judeo-Shirazi","","Southern Asia","Iran,
Israel","","Indo-European","Midwood","Medium","Residential"
"Judeo-Shirazi","","Southern Asia","Iran,
Israel","","Indo-European","Great Neck (NY)","Medium","Residential"
"Judeo-Spanish","Ladino","Western Asia","Turkey,
Israel","133,016","Indo-European","Lower East Side","Medium","Historical"
"Judeo-Spanish","Ladino","Western Asia","Turkey,
Israel","133,016","Indo-European","Concourse","Medium","Historical"
"Judeo-Spanish","Ladino","Western Asia","Turkey,
Israel","133,016","Indo-European","Forest Hills","Smallest","Residential"
"Judeo-Spanish","Ladino","Western Asia","Turkey,
Israel","133,016","Indo-European","Gravesend","Smallest","Residential"
"Juhuri","","Western Asia","Azerbaijan,
Russia,
Israel","80,500","Indo-European","Kensington","Medium","Residential"
"K'iche'","K'iche'","Central America","Guatemala","1,270,000","Mayan","Fairview (NJ)","Smallest","Residential"
"K'iche'","K'iche'","Central America","Guatemala","1,270,000","Mayan","Jamaica","Smallest","Residential"
"K'iche'","K'iche'","Central America","Guatemala","1,270,000","Mayan","Bensonhurst","Small","Residential"
"Kabardian","Къэбэрдейбзэ","Western Asia","Russia,
Turkey","1,702,500","Abkhaz-Adyge","Wayne (NJ)","Small","Residential"
"Kabiye","Kabiye","Western Africa","Togo,
Benin","984,300","Atlantic-Congo","Morrisania","Smallest","Residential"
"Kabli","Kabli","Southern Asia","Afghanistan","","Indo-European","Hicksville (NY)","Small","Community"
"Kabyle","Taqbaylit","Northern Africa","Algeria","5,599,200","Afro-Asiatic","Astoria","Smallest","Residential"
"Kachin","Jingpho","Southeastern Asia","Myanmar,
China","940,000","Sino-Tibetan","Glendale","Smallest","Community"
"Kadazan Dusun","Kadazan Dusun","Southeastern Asia","Malaysia","","Austronesian","Morningside Heights","Smallest","Historical"
"Kaike","Kaike","Southern Asia","Nepal","50","Sino-Tibetan","Woodside","Smallest","Residential"
"Kalabari","Kalabari","Western Africa","Nigeria","258,000","Ijoid","Jamaica","Smallest","Residential"
"Kalasha","","Southern Asia","Pakistan","5,000","Indo-European","Midwood","Smallest","Residential"
"Kalderash Romani","Kalderashitska","Eastern Europe","Romania,
Ukraine","200,000","Indo-European","West Village","Medium","Residential"
"Kalmyk","Хальмг","Eastern Europe","Russia,
Mongolia","431,800","Mongolic","Bensonhurst","Small","Residential"
"Kalmyk","Хальмг","Eastern Europe","Russia,
Mongolia","431,800","Mongolic","Howell (NJ)","Small","Residential"
"Kandhari","Kandhari","Southern Asia","Afghanistan","","Indo-European","Hicksville (NY)","Small","Community"
"Kannada","ಕನ್ನಡ","Southern Asia","India","56,463,310","Dravidian","Queens Village","Medium","Residential"
"Kannada","ಕನ್ನಡ","Southern Asia","India","56,463,310","Dravidian","Plainview (NY)","Medium","Residential"
"Kaqchikel","Kaqchikel","Central America","Guatemala","833,000","Mayan","Riverhead (NY)","Smallest","Residential"
"Kaqchikel","Kaqchikel","Central America","Guatemala","833,000","Mayan","Fairview (NJ)","Small","Residential"
"Kaqchikel","Kaqchikel","Central America","Guatemala","833,000","Mayan","Sunset Park","Smallest","Residential"
"Kaqchikel","Kaqchikel","Central America","Guatemala","833,000","Mayan","East Harlem","Smallest","Residential"
"Karachay-Balkar","","Western Asia","Russia","310,400","Turkic","Brighton Beach","Smallest","Residential"
"Karachay-Balkar","","Western Asia","Russia","310,400","Turkic","Paterson (NJ)","Small","Residential"
"Karakalpak","Qaraqalpaq","Central Asia","Uzbekistan","635,670","Turkic","Gravesend","Smallest","Residential"
"Karen","ကညီကျိာ်","Southeastern Asia","Myanmar,
Thailand","7,000,000","Sino-Tibetan","Elmhurst","Small","Residential"
"Karen","ကညီကျိာ်","Southeastern Asia","Myanmar,
Thailand","7,000,000","Sino-Tibetan","Glendale","Smallest","Community"
"Karen","ကညီကျိာ်","Southeastern Asia","Myanmar,
Thailand","7,000,000","Sino-Tibetan","Midtown","Smallest","Community"
"Kariu","Haruku","Southeastern Asia","Indonesia","18,200","Austronesian","Elmhurst","Smallest","Residential"
"Kashmiri","كأشُر","Southern Asia","India,
Pakistan","6,914,780","Indo-European","Jamaica Hills","Smallest","Residential"
"Kassonke","Xaasonga","Western Africa","Mali,
Senegal","711,310","Mande","Concourse","Smallest","Residential"
"Kazakh","Қазақша","Central Asia","Kazakhstan,
China","9,980,000","Turkic","Sheepshead Bay","Small","Residential"
"Kazakh","Қазақша","Central Asia","Kazakhstan,
China","9,980,000","Turkic","Flushing","Smallest","Residential"
"Khaling","","Southern Asia","Nepal","15,000","Sino-Tibetan","Elmhurst","Smallest","Residential"
"Khalkha Mongolian","","Eastern Asia","Mongolia,
Russia","2,672,080","Mongolic","Jackson Heights","Small","Residential"
"Kham Magar","","Southern Asia","Nepal","27,000","Sino-Tibetan","Woodside","Smallest","Residential"
"Kham Tibetan","ཁམས་སྐད་","Eastern Asia","China,
India","1,380,000","Sino-Tibetan","Elmhurst","Small","Residential"
"Kham Tibetan","ཁམས་སྐད་","Eastern Asia","China,
India","1,380,000","Sino-Tibetan","Astoria","Small","Residential"
"Khmer","ភាសាខ្មែរ","Southeastern Asia","Cambodia,
Vietnam","17,591,230","Austroasiatic","Flatbush","Small","Residential"
"Khmer","ភាសាខ្មែរ","Southeastern Asia","Cambodia,
Vietnam","17,591,230","Austroasiatic","Kingsbridge","Medium","Residential"
"Khowar","کهووار","Southern Asia","Pakistan,
India","332,200","Indo-European","Rego Park","Smallest","Residential"
"Kikongo","Kikongo","Middle Africa","D.R. Congo,
Congo (Brazzaville)","6,500,000","Atlantic-Congo","TriBeCa","Medium","Historical"
"Kikongo","Kikongo","Middle Africa","D.R. Congo,
Congo (Brazzaville)","6,500,000","Atlantic-Congo","Central Harlem","Smallest","Residential"
"Kimbundu","Kimbundu","Western Africa","Angola","2,100,000","Atlantic-Congo","TriBeCa","Small","Historical"
"Kinaray-a","Kinaray-a","Southeastern Asia","Philippines","433,000","Austronesian","Woodside","Smallest","Residential"
"Kinyarwanda","Kinyarwanda","Eastern Africa","Rwanda,
Uganda","12,120,250","Atlantic-Congo","Murray Hill","Small","Community"
"Kinyarwanda","Kinyarwanda","Eastern Africa","Rwanda,
Uganda","12,120,250","Atlantic-Congo","Elizabeth (NJ)","Small","Residential"
"Kirundi","Ikirundi","Middle Africa","Burundi","10,000,000","Atlantic-Congo","East Midtown","Smallest","Community"
"Kissi","Kissi","Western Africa","Liberia","","Atlantic-Congo","Park Hill","Smallest","Residential"
"Kituba","Monokutuba","Middle Africa","Congo (Brazzaville)","5,400,000","Atlantic-Congo","Carroll Gardens","Smallest","Residential"
"Kodava","","Southern Asia","India","114,000","Dravidian","Edison (NJ)","Small","Residential"
"Koine Greek","","Southern Europe","Greece","","Indo-European","Astoria","Medium","Liturgical"
"Koine Greek","","Southern Europe","Greece","","Indo-European","Lenox Hill","Medium","Liturgical"
"Konkani","कोंकणी","Southern Asia","India","5,889,650","Indo-European","College Point","Medium","Residential"
"Konyak","Konyak","Southern Asia","India","244,477","Sino-Tibetan","DUMBO","Smallest","Residential"
"Konyanka","Konyanka","Western Africa","Guinea,
Liberia","210,000","Mande","Concourse","Small","Residential"
"Korean","한국어","Eastern Asia","South Korea,
North Korea","77,264,890","Koreanic","NoMad","Large","Community"
"Korean","한국어","Eastern Asia","South Korea,
North Korea","77,264,890","Koreanic","Palisades Park (NJ)","Largest","Residential"
"Korean","한국어","Eastern Asia","South Korea,
North Korea","77,264,890","Koreanic","Kingsbridge","Medium","Residential"
"Korean","한국어","Eastern Asia","South Korea,
North Korea","77,264,890","Koreanic","Park Slope","Medium","Residential"
"Korean","한국어","Eastern Asia","South Korea,
North Korea","77,264,890","Koreanic","Flushing","Largest","Residential"
"Koryo-Mar","고려말","Central Asia","Uzbekistan,
Russia","","Koreanic","Park Slope","Small","Community"
"Koryo-Mar","고려말","Central Asia","Uzbekistan,
Russia","","Koreanic","Brighton Beach","Small","Residential"
"Kota","Ikota","Middle Africa","Gabon,
Congo (Brazzaville)","39,000","Atlantic-Congo","Roosevelt Island","Smallest","Residential"
"Koulounkalan","Koulounkalan","Western Africa","Guinea","","Mande","Concourse","Smallest","Residential"
"Kpelle","","Western Africa","Liberia","1,220,000","Mande","Park Hill","Small","Residential"
"Krahn","Krahn","Western Africa","Liberia,
Ivory Coast","214,000","Atlantic-Congo","Park Hill","Small","Residential"
"Kru","Kru","Western Africa","Liberia,
Ivory Coast","271,000","Atlantic-Congo","Park Hill","Small","Residential"
"Kulung","","Southern Asia","Nepal","33,000","Sino-Tibetan","Jackson Heights","Smallest","Residential"
"Kumeyaay","Kumiai","Northern America","Mexico,
United States","440","Yuman","West Village","Smallest","Residential"
"Kuna","Dulegaya","Central America","Panama,
Colombia","61,000","Chibchan","Cobble Hill","Smallest","Residential"
"Kuranko","Kuranko","Western Africa","Sierra Leone,
Guinea","461,000","Mande","Jackson Heights","Smallest","Residential"
"Kurdish","Kurmancî","Western Asia","Syria,
Turkey","22,132,670","Indo-European","New Milford (NJ)","Small","Community"
"Kurdish","Kurmancî","Western Asia","Syria,
Turkey","22,132,670","Indo-European","Gravesend","Smallest","Residential"
"Kurtöp","ཀུར་ཏོ་པ་ཁ་","Southern Asia","Bhutan","15,000","Sino-Tibetan","Sunnyside","Smallest","Residential"
"Kutchi","𑊺𑋀𑋪𑋁𑋢","Southern Asia","India","100,000","Indo-European","Rego Park","Small","Community"
"Kyirong","སྐྱིད་གྲོང་སྐད་","Southern Asia","China,
Nepal","600","Sino-Tibetan","Elmhurst","Smallest","Residential"
"Kyrgyz","Кыргызча","Central Asia","Kyrgyzstan,
China","4,170,000","Turkic","Bensonhurst","Small","Residential"
"Ladakhi","ལ་དྭགས་སྐད་","Southern Asia","India,
China","27,000","Sino-Tibetan","Jamaica","Small","Residential"
"Lahu","Ladhof","Southeastern Asia","Myanmar,
Thailand","600,000","Sino-Tibetan","Elmhurst","Smallest","Residential"
"Lahu","Ladhof","Southeastern Asia","Myanmar,
Thailand","600,000","Sino-Tibetan","Glendale","Smallest","Community"
"Lakota","Lakȟótiyapi","Northern America","United States,
Canada","2,100","Siouan","Greenwich Village","Smallest","Reviving"
"Lamnso","Lamnso","Middle Africa","Cameroon","125,000","Atlantic-Congo","Tremont","Smallest","Residential"
"Lao","ພາສາລາວ","Southeastern Asia","Laos,
Cambodia","4,230,000","Tai-Kadai","Fordham","Small","Residential"
"Lao","ພາສາລາວ","Southeastern Asia","Laos,
Cambodia","4,230,000","Tai-Kadai","Elmhurst","Small","Residential"
"Larteh","Larteh","Western Africa","Ghana","74,000","Atlantic-Congo","Highbridge","Smallest","Residential"
"Latvian","Latviešu","Northern Europe","Latvia","1,765,910","Indo-European","University Heights","Smallest","Residential"
"Latvian","Latviešu","Northern Europe","Latvia","1,765,910","Indo-European","Yonkers (NY)","Small","Residential"
"Lazuri","ლაზური","Western Asia","Turkey,
Georgia","22,000","Kartvelian","Astoria","Smallest","Residential"
"Lemko","","Eastern Europe","Ukraine,
Poland","","Indo-European","Terryville (CT)","Medium","Residential"
"Lemko","","Eastern Europe","Ukraine,
Poland","","Indo-European","Yonkers (NY)","Smallest","Residential"
"Lemko","","Eastern Europe","Ukraine,
Poland","","Indo-European","East Village","Medium","Residential"
"Lenape (Munsee)","Lunaape","Northern America","Canada,
United States","","Algic","Maspeth","Medium","Reviving"
"Lenape (Munsee)","Lunaape","Northern America","Canada,
United States","","Algic","Walpack (NJ)","Medium","Reviving"
"Lenape (Munsee)","Lunaape","Northern America","Canada,
United States","","Algic","Mahwah (NJ)","Medium","Reviving"
"Lenape (Munsee)","Lunaape","Northern America","Canada,
United States","","Algic","Flemington (NJ)","Medium","Reviving"
"Lenape (Munsee)","Lunaape","Northern America","Canada,
United States","","Algic","Financial District","Medium","Reviving"
"Lenape (Munsee)","Lunaape","Northern America","Canada,
United States","","Algic","Great Kills","Medium","Reviving"
"Lenape (Munsee)","Lunaape","Northern America","Canada,
United States","","Algic","City Island","Medium","Reviving"
"Lenape (Munsee)","Lunaape","Northern America","Canada,
United States","","Algic","Canarsie","Medium","Reviving"
"Lenape (Unami)","Lunaape","Northern America","United States","","Algic","Trenton (NJ)","Large","Reviving"
"Lezgi","Лезги","Western Asia","Russia,
Azerbaijan","633,610","Nakh-Daghestanian","Homecrest","Smallest","Residential"
"Liberian English","Liberian English","Western Africa","Liberia","","Indo-European","Park Hill","Medium","Residential"
"Libyan Arabic","ليبي","Northern Africa","Libya,
Egypt","4,911,800","Afro-Asiatic","Astoria","Small","Residential"
"Libyan Judeo-Arabic","","Northern Africa","Libya,
Israel","35,000","Afro-Asiatic","Midwood","Smallest","Residential"
"Ligurian","Ligure","Southern Europe","Italy,
Monaco","508,210","Indo-European","Greenwich Village","Small","Historical"
"Limba","Limba","Western Africa","Sierra Leone","442,000","Atlantic-Congo","Jackson Heights","Smallest","Residential"
"Limbu","","Southern Asia","Nepal,
India","407,000","Sino-Tibetan","Elmhurst","Small","Residential"
"Limi","ལི་མི་སྐད​་","Southern Asia","Nepal,
China","29,000","Sino-Tibetan","Elmhurst","Smallest","Residential"
"Lingala","Lingala","Middle Africa","D.R. Congo,
Congo (Brazzaville)","2,260,520","Atlantic-Congo","Central Harlem","Smallest","Residential"
"Lithuanian","Lietuvių","Northern Europe","Lithuania,
Poland","3,000,600","Indo-European","Chelsea","Small","Community"
"Lithuanian","Lietuvių","Northern Europe","Lithuania,
Poland","3,000,600","Indo-European","Maspeth","Small","Residential"
"Lithuanian","Lietuvių","Northern Europe","Lithuania,
Poland","3,000,600","Indo-European","Williamsburg","Small","Residential"
"Litvish Yiddish","","Northern Europe","United States,
Israel","","Indo-European","Lakewood (NJ)","Medium","Residential"
"Litvish Yiddish","","Northern Europe","United States,
Israel","","Indo-European","Crown Heights","Medium","Residential"
"Loke","གློ་སྐད་","Southern Asia","Nepal","7,500","Sino-Tibetan","Allerton","Smallest","Residential"
"Loke","གློ་སྐད་","Southern Asia","Nepal","7,500","Sino-Tibetan","Jersey City (NJ)","Small","Residential"
"Loke","གློ་སྐད་","Southern Asia","Nepal","7,500","Sino-Tibetan","Woodside","Small","Residential"
"Loma","Löömàgòòi","Western Africa","Liberia","266,000","Mande","Park Hill","Smallest","Residential"
"Lombard","Lombard","Southern Europe","Italy,
Switzerland","3,903,000","Indo-European","Greenwich Village","Small","Historical"
"Lotha","Lotha","Southern Asia","India","180,000","Sino-Tibetan","Edison (NJ)","Smallest","Residential"
"Lovari Romani","Lovari","Southern Europe","Romania","","Indo-European","Newark (NJ)","Small","Residential"
"Low German","Plattdüütsch","Western Europe","Germany","447,360","Indo-European","Franklin Square (NY)","Medium","Residential"
"Luba-Kasai","Luba-Kasai","Middle Africa","D.R. Congo","7,060,000","Atlantic-Congo","Flatbush","Small","Residential"
"Luba-Katanga","Luba-Katanga","Middle Africa","D.R. Congo","1,510,000","Atlantic-Congo","Central Harlem","Small","Residential"
"Lucano","Potentino","Southern Europe","Italy","","Indo-European","Little Italy","Small","Historical"
"Lucano","Potentino","Southern Europe","Italy","","Indo-European","Trenton (NJ)","Small","Historical"
"Luganda","Oluganda","Eastern Africa","Uganda","6,564,750","Atlantic-Congo","Plainfield (NJ)","Small","Residential"
"Lukumí","Lukumí","Caribbean","Cuba,
Dominican Republic","","Atlantic-Congo","Bushwick","Medium","Liturgical"
"Lukumí","Lukumí","Caribbean","Cuba,
Dominican Republic","","Atlantic-Congo","Fordham","Medium","Liturgical"
"Lummi","Xwlemi Chosen","Northern America","United States","","Salish","St. George","Smallest","Reviving"
"Luo","Dholuo","Eastern Africa","Kenya,
Tanzania","4,200,000","Nilotic","Central Harlem","Smallest","Residential"
"Luri","لوری","Southern Asia","Iran","1,760,000","Indo-European","Briarwood","Smallest","Residential"
"Luxembourgish","Lëtzebuergesch","Western Europe","Luxembourg,
France","471,400","Indo-European","East Midtown","Smallest","Community"
"Macedonian","Македонски","Southern Europe","North Macedonia,
Albania","1,620,290","Indo-European","College Point","Small","Residential"
"Macedonian","Македонски","Southern Europe","North Macedonia,
Albania","1,620,290","Indo-European","Belmont","Small","Residential"
"Macedonian","Македонски","Southern Europe","North Macedonia,
Albania","1,620,290","Indo-European","Garfield (NJ)","Small","Residential"
"Macedonian","Македонски","Southern Europe","North Macedonia,
Albania","1,620,290","Indo-European","Battery Park City","Smallest","Community"
"Machvaya Romani","Machvaya","Southern Europe","Serbia","","Indo-European","East Williamsburg","Small","Historical"
"Madurese","Basa Mathura","Southeastern Asia","Indonesia","7,790,900","Austronesian","Astoria","Smallest","Community"
"Madurese","Basa Mathura","Southeastern Asia","Indonesia","7,790,900","Austronesian","Elmhurst","Smallest","Residential"
"Magar","मगर","Southern Asia","Nepal","308,000","Sino-Tibetan","Woodside","Small","Residential"
"Maguindanao","Magindanawn","Southeastern Asia","Philippines","1,100,000","Austronesian","Woodside","Smallest","Residential"
"Mahouka","Mahou","Western Africa","Ivory Coast","300,000","Mande","East Harlem","Smallest","Residential"
"Maithili","मैथिली","Southern Asia","India,
Nepal","34,085,000","Indo-European","Woodside","Small","Residential"
"Maithili","मैथिली","Southern Asia","India,
Nepal","34,085,000","Indo-European","Edison (NJ)","Medium","Residential"
"Makassarese","","Southeastern Asia","Indonesia","2,530,000","Austronesian","Astoria","Smallest","Community"
"Makassarese","","Southeastern Asia","Indonesia","2,530,000","Austronesian","Elmhurst","Smallest","Residential"
"Malagasy","Malagasy","Eastern Africa","Madagascar","18,138,380","Austronesian","TriBeCa","Smallest","Historical"
"Malagasy","Malagasy","Eastern Africa","Madagascar","18,138,380","Austronesian","Corona","Smallest","Residential"
"Malagasy","Malagasy","Eastern Africa","Madagascar","18,138,380","Austronesian","Chelsea","Small","Community"
"Malay","Bahasa Melayu","Southeastern Asia","Malaysia,
Brunei,
Singapore","250,000,000","Austronesian","Elmhurst","Small","Residential"
"Malay","Bahasa Melayu","Southeastern Asia","Malaysia,
Brunei,
Singapore","250,000,000","Austronesian","Chinatown","Small","Residential"
"Malayalam","മലയാളം","Southern Asia","India","35,495,000","Dravidian","Queens Village","Medium","Residential"
"Malayalam","മലയാളം","Southern Asia","India","35,495,000","Dravidian","Hillsborough (NJ)","Medium","Community"
"Malayalam","മലയാളം","Southern Asia","India","35,495,000","Dravidian","Williamsbridge","Medium","Residential"
"Malayalam","മലയാളം","Southern Asia","India","35,495,000","Dravidian","Manor Heights","Medium","Residential"
"Maltese","Malti","Southern Europe","Malta","481,760","Afro-Asiatic","Astoria","Medium","Residential"
"Mam","Mam","Central America","Guatemala,
Mexico","488,500","Mayan","East Harlem","Small","Residential"
"Mam","Mam","Central America","Guatemala,
Mexico","488,500","Mayan","Mott Haven","Small","Residential"
"Mam","Mam","Central America","Guatemala,
Mexico","488,500","Mayan","Jamaica","Small","Residential"
"Mam","Mam","Central America","Guatemala,
Mexico","488,500","Mayan","Morristown (NJ)","Small","Residential"
"Mam","Mam","Central America","Guatemala,
Mexico","488,500","Mayan","Port Richmond","Small","Residential"
"Mamuju","Mamuju","Southeastern Asia","Indonesia","60,000","Austronesian","Elmhurst","Smallest","Residential"
"Manado Malay","Melayu Manado","Southeastern Asia","Indonesia","2,350,000","Austronesian","Elmhurst","Small","Residential"
"Manang","ङ्‍येश्याङ्‍ते","Southern Asia","Nepal","390","Sino-Tibetan","Sunnyside","Small","Residential"
"Mandarin Chinese","","Eastern Asia","China,
Taiwan","1,116,596,640","Sino-Tibetan","Jericho (NY)","Large","Residential"
"Mandarin Chinese","","Eastern Asia","China,
Taiwan","1,116,596,640","Sino-Tibetan","Princeton (NJ)","Large","Residential"
"Mandarin Chinese","","Eastern Asia","China,
Taiwan","1,116,596,640","Sino-Tibetan","Morris Park","Small","Residential"
"Mandarin Chinese","","Eastern Asia","China,
Taiwan","1,116,596,640","Sino-Tibetan","Chinatown","Largest","Residential"
"Mandarin Chinese","","Eastern Asia","China,
Taiwan","1,116,596,640","Sino-Tibetan","Flushing","Largest","Residential"
"Mandarin Chinese","","Eastern Asia","China,
Taiwan","1,116,596,640","Sino-Tibetan","Elmhurst","Largest","Residential"
"Mandarin Chinese","","Eastern Asia","China,
Taiwan","1,116,596,640","Sino-Tibetan","Sunset Park","Largest","Residential"
"Mandingo","Mandingo","Western Africa","Liberia","154,000","Mande","Park Hill","Small","Residential"
"Mandinka","","Western Africa","Senegal,
Gambia","1,325,000","Mande","Concourse","Medium","Residential"
"Mandinka","","Western Africa","Senegal,
Gambia","1,325,000","Mande","St. Albans","Small","Residential"
"Mandinka","","Western Africa","Senegal,
Gambia","1,325,000","Mande","Central Harlem","Medium","Residential"
"Mandjak","Manjáku","Western Africa","Guinea-Bissau,
Senegal","356,800","Atlantic-Congo","Highbridge","Smallest","Residential"
"Manggarai","Manggarai","Southeastern Asia","Indonesia","900,000","Austronesian","Elmhurst","Smallest","Residential"
