channel,title,published_at,duration,view_count,like_count,comment_count
T-Series,"Psycho Saiyaan | Saaho | Prabhas, Shraddha Kapoor | Tanishk Bagchi, Dhvani Bhanushali, Sachet Tandon",2019-07-08T05:31:45Z,PT2M12S,325069106,2311039,51716
T-Series,Lyrical: Chammak Challo | Ra One | ShahRukh Khan | Kareena Kapoor,2018-10-14T10:30:00Z,PT4M6S,318469834,2370636,40372
T-Series,Atif Aslam: Pehli Dafa Song (Video) | Ileana D’Cruz | Latest Hindi Song 2017 | T-Series,2017-01-06T06:30:39Z,PT4M43S,317713440,2370177,53190
T-Series,"Full Video: Deewangi Deewangi |  Om Shanti Om | Shahrukh Khan | Vishal Dadlani, Shekhar Ravjiani",2011-04-26T05:46:41Z,PT8M58S,316310298,1716839,48847
T-Series,Luka Chuppi: Duniyaa Full Video Song | Kartik Aaryan Kriti Sanon | Akhil | Dhvani B,2019-03-11T13:36:24Z,PT3M52S,314995126,2023042,37747
T-Series,"Marjaavaan: Ek Toh Kum Zindagani Video | Nora Fatehi | Tanishk B, Neha K, Yash N",2019-10-10T05:11:15Z,PT3M18S,313657352,2076673,39475
T-Series,"Full Video: Ek Haseena Thi |  Karzzzz | Himesh Reshammiya, Urmila Martondar|  Shreya Ghosal",2011-05-24T21:34:56Z,PT6M37S,311292164,1265897,43256
T-Series,"Wafa Na Raas Aayee Song Jubin Nautiyal Ft.Himansh K,Arushi N, Meet Bros|Rashmi V|Ashish P| Bhushan K",2021-04-23T05:31:27Z,PT5M4S,306735407,3055241,92345
T-Series,"Chhalaang: Care Ni Karda | Rajkummar R, Nushrratt B | Yo Yo Honey Singh, Alfaaz, Hommie Dilliwala",2020-10-22T07:30:30Z,PT3M6S,302714548,2637329,94902
T-Series,"Full Video: CHALE AANA | De De Pyaar De I Ajay Devgn, Tabu, Rakul Preet l Armaan M, Amaal M,Kunaal V",2019-06-10T11:00:47Z,PT4M14S,302412704,1656063,35384
T-Series,"GF BF VIDEO SONG | Sooraj Pancholi, Jacqueline Fernandez ft. Gurinder Seagal | T-Series",2016-02-17T12:31:43Z,PT7M3S,302130665,2153382,53077
T-Series,"""Tum Hi Ho Aashiqui 2"" Full Video Song HD | Aditya Roy Kapur, Shraddha Kapoor | Music - Mithoon",2013-05-20T10:34:52Z,PT5M10S,299703981,2614035,79125
T-Series,"Main Tera Hero | Galat Baat Hai Full Video Song | Varun Dhawan, Ileana D'Cruz, Nargis Fakhri",2014-04-12T08:30:38Z,PT3M42S,299467871,1249364,15936
T-Series,Humdard Full Video Song | Ek Villain | Arijit Singh | Mithoon,2014-07-11T13:36:08Z,PT4M19S,296337965,2939446,67105
T-Series,"Besharam Bewaffa Song: Divya K, Gautam G, Siddarth G | B Praak, Jaani |Radhika, Vinay| Bhushan Kumar",2020-11-30T05:30:22Z,PT5M42S,296213109,3396304,89213
T-Series,PANIYON SA Full Song | Satyameva Jayate  | John Abraham | Aisha Sharma | Tulsi Kumar | Atif Aslam,2018-08-23T07:03:33Z,PT3M27S,294813716,1449189,28351
T-Series,Jhalak Dikhla Ja Full Song (HD) Aksar | Emraan Hashmi,2011-05-20T07:59:08Z,PT4M34S,291714317,1326237,44727
T-Series,"Full Video: Sajan Tumse Pyar | Maine Pyaar Kyun Kiya | Salmaan Khan, Sushmita Sen",2011-05-24T17:38:01Z,PT4M8S,285597508,991951,20465
T-Series,"Full Video : Pehle Kabhi Na Mera Haal | Baghban | Salman Khan, Mahima Chaudhary",2013-02-08T14:24:38Z,PT4M33S,285400706,857438,25237
T-Series,"Yaar Mod Do Full Video Song | Guru Randhawa, Millind Gaba | T-Series",2016-01-21T07:30:00Z,PT4M54S,281131299,2997816,75578
T-Series,"""Teri Meri Prem Kahani Bodyguard"" (Video Song) Feat. 'Salman khan'",2011-08-21T13:37:17Z,PT2M41S,277933327,2105512,61243
T-Series,"""Sheila Ki Jawani"" Full Song | Tees Maar Khan | Katrina Kaif | Vishal Dadlani, Sunidhi Chauhan",2011-03-07T06:24:22Z,PT4M31S,277111769,1270573,28167
T-Series,"Bhool Bhulaiyaa 2 (Title Track) Kartik A, Kiara A, Tabu |Pritam, Tanishk, Neeraj, Anees B, Bhushan K",2022-05-02T05:30:27Z,PT3M36S,276591413,2436949,83678
T-Series,"MAIN WOH CHAAND Full Video Song | TERAA SURROOR | Himesh Reshammiya, Farah Karimaee | T-Series",2016-03-19T12:41:59Z,PT4M49S,276298529,1837429,51330
T-Series,"Full Video: Dupatta Tera Nau Rang Da | Partner | Salman Khan, Govinda, Katrina, Lara Dutta",2011-05-24T19:44:03Z,PT4M32S,276226965,1059375,17787
T-Series,"MUMMY NU PASAND Video | Jai Mummy Di l Sunny S, Sonnalli S l Jaani, Sunanda S, Tanishk B, Sukh-E",2019-12-17T06:31:52Z,PT2M45S,275932875,1291864,23914
T-Series,"Sheher Ki Ladki Song | Khandaani Shafakhana | Tanishk Bagchi, Badshah, Tulsi Kumar,  Diana Penty",2019-07-05T10:15:33Z,PT3M11S,271196252,1693639,28143
T-Series,LYRICS: Aashiq Banaya Aapne Song | Hate Story IV | Urvashi Rautela | Himesh Reshammiya | Neha Kakkar,2018-02-06T13:30:34Z,PT4M3S,269214197,1216509,34644
T-Series,Main Tera Boyfriend Full Video | Raabta | Arijit Singh | Neha Kakkar | Sushant Singh Kriti Sanon,2017-06-16T03:55:02Z,PT3M20S,265444535,1829617,44980
T-Series,OFFICIAL: 'Manwa Laage' FULL VIDEO Song | Happy New Year | Shah Rukh Khan | Arijit Singh,2014-11-07T06:20:41Z,PT4M29S,262527181,1671729,25527
T-Series,"Banjaara Full Video Song | Ek Villain | Shraddha Kapoor, Siddharth Malhotra",2014-07-11T08:32:21Z,PT5M34S,261637194,2540258,53734
T-Series,"Lyrical: Khairiyat | Chhichhore | Nitesh Tiwari | Arijit Singh | Sushant, Shraddha | Pritam",2019-09-08T10:30:01Z,PT4M59S,259131103,2181974,74511
T-Series,"Lyrical:Tum Jo Aaye |Once Upon A Time In Mumbai| Ajay Devgn,Rahat Fateh Ali Khan,Tulsi Kumar, Pritam",2018-10-27T11:00:07Z,PT5M5S,258572638,1500035,20648
T-Series,DILBAR | Satyameva Jayate | John Abraham Nora Fatehi | Tanishk B Neha Kakkar Ikka Dhvani | T-Series,2018-07-04T05:30:08Z,PT2M13S,257111625,1611651,91232
T-Series,"Party With The Bhoothnath Song (Official) | Bhoothnath Returns | Amitabh Bachchan, Yo Yo Honey Singh",2014-03-21T11:33:31Z,PT4M37S,256701679,2169607,42641
T-Series,"""Dil Tu Hi Bataa Krrish 3"" Full Video Song | Hrithik Roshan, Kangana Ranaut",2013-12-13T10:38:22Z,PT4M54S,256609712,1187523,32322
T-Series,"Full Video: Soni De Nakhre | Partner | Govinda, Salman Khan, Katrina Kaif | Sajid - Wajid",2011-05-24T19:45:36Z,PT3M58S,255010276,1281644,17133
