channel,title,published_at,duration,view_count,like_count,comment_count
Zee Music Company,Vande Mataram Full Video | Disney's ABCD 2 | Varun Dhawan & Shraddha Kapoor | Daler Mehndi | Badshah,2015-07-30T08:30:00Z,PT10M46S,170150650,1690566,50025
Zee Music Company,Dil Kare Chu Che - Full Video | Singh Is Bliing | Akshay Kumar Amy Jackson | Meet Bros | Dance Party,2015-11-03T11:40:11Z,PT4M22S,168760600,575047,13593
Zee Music Company,"Chandigarh Mein | Good Newwz | Akshay Kumar, Kareena, Diljit, Kiara| Badshah, Harrdy, Asees, Tanishk",2019-11-27T13:11:17Z,PT3M15S,161701717,891695,23669
Zee Music Company,"Tere Jism 2 - Aly Goni, Kangna Sharma & Abdul Latif | Altaaf Sayyed | Aslam Khan",2019-06-26T08:00:30Z,PT5M,155477869,713818,10649
Zee Music Company,Badshah - Aaj Raat Ka Scene Banale | Jazbaa | Shraddha Pandit | Diksha | Jaanu,2015-09-25T05:29:27Z,PT2M30S,153714550,844432,9944
Zee Music Company,Teri Meri Kahaani Hai Baarishon Ka Paani - Arijit Singh | Gabbar Is Back | Akshay Kumar & Kareena K,2015-06-09T11:54:37Z,PT5M35S,153680964,1014817,19916
Zee Music Company,Sweetheart - Full Video | Kedarnath | Sushant Singh | Sara Ali Khan | Dev Negi | Amit Trivedi,2019-01-02T14:47:33Z,PT3M43S,153110989,1275596,34961
Zee Music Company,Ae Watan - Full Video | Raazi | Alia Bhatt | Sunidhi Chauhan | Shankar Ehsaan Loy | Gulzar,2018-07-05T12:57:47Z,PT2M37S,152830502,1319009,63406
Zee Music Company,"Maiyya Mainu - Jersey | Shahid Kapoor, Mrunal T| Sachet-Parampara,Shellee| Gowtam T| 22nd April 2022",2021-12-08T05:30:43Z,PT3M2S,151345899,1054056,9448
Zee Music Company,"Main Adhoora  | Beiimaan Love| Sunny Leone | Aakanksha Sharma , Sanjiv Darshan",2016-09-02T09:24:49Z,PT4M2S,150253523,420240,5967
Zee Music Company,हनुमान चालीसा | Hanuman Chalisa Full | Shekhar Ravjiani | Video Song & Lyrics | Zee Music Devotional,2014-07-29T15:48:30Z,PT9M10S,144084984,855156,37311
Zee Music Company,"Pyaar Tune Kya Kiya - Official Theme Song | Love Romance Sad Song | Amjad Nadeem , Jubin Nautiyal",2015-04-08T11:52:36Z,PT3M35S,141733835,932220,39175
Zee Music Company,"Baithe Baithe - Mouni Roy, Angad | Meet Bros ft Stebin Ben, Danish, Aishwarya| Zee Music Originals",2021-07-28T05:30:37Z,PT4M48S,133653004,1095562,20591
Zee Music Company,Namo Namo - Full Video | Kedarnath | Sushant Rajput | Sara Ali Khan | Amit Trivedi | Amitabh B,2019-01-02T14:39:35Z,PT5M4S,133303173,1693284,50820
Zee Music Company,"Ghar More Pardesiya - Full Video| Kalank | Varun, Alia & Madhuri| Shreya & Vaishali| Pritam| Amitabh",2019-05-14T13:01:00Z,PT10M37S,132930023,959127,25206
Zee Music Company,Nasha | Game Paisa Ladki | Deepanse Garge & Sezal Sharma | Amit Gupta,2018-09-20T12:05:11Z,PT3M46S,131771495,432936,10199
Zee Music Company,Radhe Title Track | Radhe - Your Most Wanted Bhai | Salman Khan & Disha Patani | Sajid Wajid,2021-05-05T06:30:14Z,PT3M3S,131451245,1683900,85364
Zee Music Company,Naina Da Kya Kasoor - Full Video | AndhaDhun | Ayushmann Khurrana | Radhika Apte | Amit Trivedi,2019-03-11T14:28:35Z,PT3M39S,131196635,689945,8443
Zee Music Company,Paani Wala Dance - Sunny Leone - Full Video | Kuch Kuch Locha Hai | Ikka | Arko | Intense,2015-04-16T10:06:12Z,PT4M7S,129808519,532362,10712
Zee Music Company,Tere Jism - Official Music Video | Sara Khan & Angad Hasija,2018-11-13T09:58:24Z,PT3M13S,126720890,567021,29728
Zee Music Company,"Thumkeshwari - Bhediya | Varun Dhawan, Kriti S, Shraddha K | Sachin-Jigar,Rashmeet, Ash K, Amitabh B",2022-10-28T07:00:03Z,PT3M12S,125435811,762504,25632
Zee Music Company,Tu Itni Khoobsurat Hai Full Video | Barkhaa| Rahat Fateh Ali Khan| Sara Lorren | Amjad Nadeem,2015-04-09T07:15:08Z,PT4M21S,124529584,945985,18624
Zee Music Company,Naina - Dangal | Aamir Khan | Arijit Singh | Pritam | Amitabh Bhattacharya | New Song 2017,2017-01-02T10:30:04Z,PT2M34S,123428928,993811,22843
Zee Music Company,"Khoya Hain - Full Video | Baahubali - The Beginning | Prabhas & Tamannaah | M.M Kreem , Manoj M",2015-11-03T13:45:04Z,PT6M59S,119351751,688261,17250
Zee Music Company,"Tu Bhi Royega - Bhavin, Sameeksha, Vishal | Jyotica Tangri | Vivek Kar| Kumaar | Zee Music Originals",2020-02-27T06:30:10Z,PT3M53S,118477609,2186170,49511
Zee Music Company,"Dekha Hazaro Dafaa | Rustom | Akshay Kumar & Ileana D'cruz | Arijit Singh , Palak M| Jeet Gannguli",2016-10-18T13:51:51Z,PT3M34S,117291197,949998,15571
Zee Music Company,"Fakira - Student Of The Year 2 | Tiger Shroff, Tara & Ananya |Vishal & Shekhar|Sanam & Neeti| Anvita",2019-05-04T10:48:26Z,PT2M44S,116785864,1093469,30962
Zee Music Company,"Sharabi - Pyaar Ka Punchnama 2 | Kartik Aaryan, Omkar Kapoor, Sunny Singh| Sharib Toshi & Raja Hasan",2015-09-10T07:59:50Z,PT2M40S,115538035,597465,7899
Zee Music Company,Zindagi - Official Music Video | Jaey Gajera | Lav Poddar,2018-09-25T09:52:53Z,PT3M32S,109406064,344019,5707
Zee Music Company,Haanikaarak Bapu - Dangal | Aamir Khan | Pritam |Amitabh B| Sarwar & Sartaz Khan | New Song 2017,2016-11-12T06:46:40Z,PT2M36S,109042688,333405,10503
Zee Music Company,"Beat Pe Booty - A Flying Jatt | Tiger Shroff , Jacqueline Fernandes | Sachin, Jigar, Vayu & Kanika",2016-08-04T06:41:12Z,PT2M56S,108824993,550721,7524
Zee Music Company,"Tu Banja Gali Benaras Ki | Asees Kaur | Shaadi Mein Zaroor Aana | Rajkummar Rao, Kriti Kharbanda",2018-01-04T09:34:44Z,PT4M3S,107557082,747259,17677
Zee Music Company,"Naina - Neha Kakkar Version | Dangal | Pritam , Amitabh B | Gaurav Jang",2017-01-11T05:30:00Z,PT3M27S,100587985,1051815,52225
Zee Music Company,Raanjhana - Priyank Sharmaaa & Hina Khan | Asad Khan ft. Arijit Singh| Raqueeb | Zee Music Originals,2019-12-12T04:30:09Z,PT6M10S,100329964,1941331,51668
Zee Music Company,Dangal - Title Track | Lyrical Video | Dangal | Aamir Khan | Pritam | Amitabh B | Daler Mehndi,2017-01-25T09:45:26Z,PT5M8S,98111688,611756,15521
Zee Music Company,Kalank Title Track - Full Video | Madhuri Sonakshi Alia Sanjay Aditya Varun | Arijit | Pritam,2019-05-14T12:59:10Z,PT5M25S,97506601,864243,16864
Zee Music Company,"Lae Dooba - Full Video | Aiyaary | Sidharth Malhotra, Rakul Preet | Sunidhi Chauhan | Rochak Kohli",2018-05-10T12:11:17Z,PT3M56S,97209310,888394,20769
Zee Music Company,Kedarnath| Jaan Nisaar | Arijit Singh| Sushant Rajput| Sara Ali Khan | Amit Trivedi | Amitabh B,2018-11-28T08:30:22Z,PT3M10S,94826209,1259151,28684
Zee Music Company,"Ghar More Pardesiya - Kalank | Varun, Alia & Madhuri| Shreya & Vaishali| Pritam| Amitabh| Abhishek",2019-03-18T07:00:17Z,PT3M16S,94483576,771770,28861
Zee Music Company,Dil Ka Telephone - Full Video | Dream Girl | Ayushmann Khurrana | Jonita Gandhi & Nakash Aziz,2019-11-29T14:07:35Z,PT3M10S,92360419,450799,6193
Zee Music Company,Laila Main Laila - Lyrical | Raees | Shah Rukh Khan | Sunny Leone | Pawni Pandey | Ram Sampath,2016-12-27T09:47:16Z,PT5M19S,91377613,376944,5237
Zee Music Company,"Jaan Ban Gaye - Lyrical | Khuda Haafiz | Vidyut J | Shivaleeka O | Mithoon Ft. Vishal M, Asees Kaur",2020-08-10T14:22:43Z,PT3M44S,89394154,735436,8590
Zee Music Company,"Dil Maang Raha Hai - Ghost | Vikram B, Sanaya I, Shivam B | Sanjeev Darshan",2019-09-25T04:30:15Z,PT2M52S,88899230,743142,14805
Zee Music Company,Phir Bhi Tumko Chaahungi - Female | Half Girlfriend | Shraddha Kapoor | Mithoon | Manoj Muntashir,2017-05-11T08:23:50Z,PT3M14S,88356034,932267,30777
Zee Music Company,Tere Sang Yaara - Rustom | Akshay Kumar & Ileana D'cruz |  Arko Ft. Atif Aslam | Manoj Muntashir,2016-07-06T02:30:07Z,PT2M21S,87227327,305368,9726
Zee Music Company,"Mehbooba | Fukrey Returns |Prem&Hardeep | Mohammed Rafi, Neha Kakkar, Raftaar",2017-11-15T04:30:05Z,PT3M10S,85770111,536150,12630
