Date,Open,High,Low,Close,Adj Close,Volume
2021-01-18,3.822131,4.147920,2.540986,3.634411,3.634411,329696309
2021-01-25,3.634645,4.787010,3.451310,4.264144,4.264144,401292667
2021-02-01,4.261251,7.127117,4.118255,6.700463,6.700463,596462154
2021-02-08,6.702447,9.924452,6.488928,8.738896,8.738896,726975139
2021-02-15,8.724266,11.786737,7.544399,11.085513,11.085513,887918075
2021-02-22,11.073036,18.146622,9.255904,13.089247,13.089247,2637155564
2021-03-01,13.108435,15.516057,11.901228,13.877732,13.877732,1082574883
2021-03-08,13.826815,16.485796,13.082289,14.508266,14.508266,1003439138
2021-03-15,14.477127,14.978218,13.130529,14.332206,14.332206,589669116
2021-03-22,14.350278,19.386005,12.370458,18.016233,18.016233,1402847399
2021-03-29,18.083303,25.569532,17.700363,24.061323,24.061323,1901197312
2021-04-05,23.928839,29.014734,21.876614,27.931890,27.931890,2425458770
2021-04-12,27.918367,32.902569,21.539209,32.302917,32.302917,2728437417
2021-04-19,32.339523,48.434265,28.932571,47.367626,47.367626,8677306110
2021-04-26,47.541855,49.896671,40.672073,46.890987,46.890987,6021366542
2021-05-03,46.903976,49.009453,41.438374,44.330196,44.330196,3663454241
2021-05-10,44.342094,52.501350,37.526894,47.200829,47.200829,6137378345
2021-05-17,46.898022,58.302925,19.139839,24.688747,24.688747,14011629330
2021-05-24,24.498320,37.237637,24.498320,28.602659,28.602659,5312413903
2021-05-31,28.604240,43.377193,27.524746,42.308376,42.308376,5387596679
2021-06-07,42.253677,44.100559,33.685459,38.770435,38.770435,6044957840
2021-06-14,38.704521,41.758675,31.362095,35.322014,35.322014,3218340758
2021-06-21,35.261436,35.497616,20.380444,31.929392,31.929392,5461125828
2021-06-28,31.880831,35.954723,31.035128,34.310600,34.310600,3061855167
2021-07-05,34.282551,38.011703,31.186785,32.177841,32.177841,2532046374
2021-07-12,32.173389,32.644054,26.040670,26.751909,26.751909,1975413364
2021-07-19,26.671240,29.507799,22.177542,28.168774,28.168774,2766706590
2021-07-26,28.227026,36.868259,27.005430,34.254360,34.254360,3578603860
2021-08-02,34.190563,40.505878,32.402660,37.673824,37.673824,3373564657
2021-08-09,37.660496,54.629551,36.481171,53.745159,53.745159,4219714541
2021-08-16,53.541149,81.813774,52.465851,72.803917,72.803917,19144376263
2021-08-23,72.769409,97.842949,66.222763,94.469673,94.469673,15464450096
2021-08-30,94.344872,150.428558,94.037720,142.070877,142.070877,36407556592
2021-09-06,142.062820,214.957184,133.100250,174.537628,174.537628,64173767130
2021-09-13,174.418457,174.931870,135.245224,152.516693,152.516693,32802672190
2021-09-20,152.794479,153.387665,116.343201,135.699371,135.699371,27772696362
2021-09-27,135.931366,176.970337,128.244827,172.589157,172.589157,20970997755
2021-10-04,172.961624,172.961624,146.898239,148.048706,148.048706,17349865477
2021-10-11,147.800446,167.425995,137.811569,159.743805,159.743805,16430045322
2021-10-18,159.997482,214.044449,153.221008,202.361984,202.361984,27434452563
2021-10-25,202.316483,218.731888,178.730865,202.421021,202.421021,22826509123
2021-11-01,202.629211,260.062103,198.238968,249.823486,249.823486,25890467435
2021-11-08,249.979263,253.254181,218.388550,238.425522,238.425522,19780441207
2021-11-15,238.731400,245.976105,187.673126,231.282623,231.282623,20937992239
2021-11-22,230.989639,231.904816,182.372452,200.676651,200.676651,17320192903
2021-11-29,200.821274,243.111664,171.553574,196.168259,196.168259,26018953137
2021-12-06,196.547485,204.118500,161.860001,173.431671,173.431671,15689250299
2021-12-13,173.099930,189.262543,148.571823,180.098053,180.098053,17782551028
2021-12-20,179.977737,200.644196,168.683517,198.000732,198.000732,13586120049
2021-12-27,197.883408,204.578568,168.312073,176.382843,176.382843,11990616113
2022-01-03,176.386307,176.386307,134.021011,140.839005,140.839005,14321369652
2022-01-10,140.833633,157.543732,130.796997,147.856522,147.856522,12132889293
2022-01-17,147.876785,148.205872,89.287155,99.578224,99.578224,15725317761
2022-01-24,99.617516,103.721558,81.226051,93.297676,93.297676,18192091379
2022-01-31,93.301170,118.213120,89.585991,115.299759,115.299759,18321233336
2022-02-07,115.276192,121.554031,91.815704,93.244102,93.244102,14667537173
2022-02-14,93.193687,105.346344,86.017441,90.901413,90.901413,12370098060
2022-02-21,90.883026,95.904091,76.859573,85.519051,85.519051,19289802931
2022-02-28,85.501106,105.984772,84.329643,84.542183,84.542183,18291073337
2022-03-07,84.552872,89.482048,78.004387,78.936073,78.936073,13515542894
2022-03-14,78.925575,94.360893,78.274353,88.614861,88.614861,14098554616
2022-03-21,88.605003,107.298714,87.207642,107.084221,107.084221,14210095320
2022-03-28,107.077965,143.020020,105.477875,136.775330,136.775330,24367783032
2022-04-04,136.760788,137.633514,108.541161,111.742439,111.742439,15639479403
2022-04-11,111.698990,111.831139,98.670853,100.409698,100.409698,10835409839
2022-04-18,100.407951,110.722977,95.242775,99.235794,99.235794,10074458898
2022-04-25,99.241409,101.742485,82.909538,89.671509,89.671509,9354617299
2022-05-02,89.672058,95.032822,74.527184,75.220184,75.220184,9675519615
2022-05-09,75.234459,76.983093,38.050091,58.811260,58.811260,22095175490
2022-05-16,58.803913,58.803913,48.050583,52.755180,52.755180,11510730050
2022-05-23,52.736088,54.474648,40.268963,44.909615,44.909615,11511937736
2022-05-30,44.908669,48.038990,36.040726,38.480534,38.480534,9672629097
2022-06-06,38.501598,44.450619,30.743271,30.743271,30.743271,10101403744
2022-06-13,30.730293,35.711720,26.060320,34.243748,34.243748,14472149288
2022-06-20,34.238365,42.729317,31.892912,39.408089,39.408089,11124016646
2022-06-27,39.409088,41.082157,31.057346,33.385933,33.385933,8102621210
2022-07-04,33.385269,39.352840,32.520714,36.697609,36.697609,8249929219
2022-07-11,36.693195,40.968723,31.959471,38.644722,38.644722,8015934598
2022-07-18,38.646957,47.099380,38.608562,41.006584,41.006584,12061417588
2022-07-25,41.009480,46.476025,34.819839,42.400204,42.400204,12515907011
2022-08-01,42.401554,43.116291,37.893131,40.605591,40.605591,8298770380
2022-08-08,40.609642,48.184284,39.257374,44.916569,44.916569,8742817573
2022-08-15,44.922440,47.127541,34.358337,36.533199,36.533199,8725288668
