ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developeing Regions,HDI Rank (2021),"Maternal Mortality Ratio (deaths per 100,000 live births) (1990)","Maternal Mortality Ratio (deaths per 100,000 live births) (1991)","Maternal Mortality Ratio (deaths per 100,000 live births) (1992)","Maternal Mortality Ratio (deaths per 100,000 live births) (1993)","Maternal Mortality Ratio (deaths per 100,000 live births) (1994)","Maternal Mortality Ratio (deaths per 100,000 live births) (1995)","Maternal Mortality Ratio (deaths per 100,000 live births) (1996)","Maternal Mortality Ratio (deaths per 100,000 live births) (1997)","Maternal Mortality Ratio (deaths per 100,000 live births) (1998)","Maternal Mortality Ratio (deaths per 100,000 live births) (1999)","Maternal Mortality Ratio (deaths per 100,000 live births) (2000)","Maternal Mortality Ratio (deaths per 100,000 live births) (2001)","Maternal Mortality Ratio (deaths per 100,000 live births) (2002)","Maternal Mortality Ratio (deaths per 100,000 live births) (2003)","Maternal Mortality Ratio (deaths per 100,000 live births) (2004)","Maternal Mortality Ratio (deaths per 100,000 live births) (2005)","Maternal Mortality Ratio (deaths per 100,000 live births) (2006)","Maternal Mortality Ratio (deaths per 100,000 live births) (2007)","Maternal Mortality Ratio (deaths per 100,000 live births) (2008)","Maternal Mortality Ratio (deaths per 100,000 live births) (2009)","Maternal Mortality Ratio (deaths per 100,000 live births) (2010)","Maternal Mortality Ratio (deaths per 100,000 live births) (2011)","Maternal Mortality Ratio (deaths per 100,000 live births) (2012)","Maternal Mortality Ratio (deaths per 100,000 live births) (2013)","Maternal Mortality Ratio (deaths per 100,000 live births) (2014)","Maternal Mortality Ratio (deaths per 100,000 live births) (2015)","Maternal Mortality Ratio (deaths per 100,000 live births) (2016)","Maternal Mortality Ratio (deaths per 100,000 live births) (2017)","Maternal Mortality Ratio (deaths per 100,000 live births) (2018)","Maternal Mortality Ratio (deaths per 100,000 live births) (2019)","Maternal Mortality Ratio (deaths per 100,000 live births) (2020)","Maternal Mortality Ratio (deaths per 100,000 live births) (2021)"
SRB,Serbia,Europe,Northern Hemisphere,Very High,ECA,63,13,13,14,14,15,14,15,15,13,14,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,13,12,12,12,12,12,12
SSD,South Sudan,Africa,Northern Hemisphere,Low,SSA,191,2000,1970,1940,1930,1910,1890,1870,1840,1800,1760,1730,1690,1660,1610,1550,1480,1410,1330,1250,1170,1100,1070,1050,1090,1140,1110,1130,1150,1150,1150,1150,1150
STP,Sao Tome and Principe,Africa,Northern Hemisphere,Medium,SSA,138,263,254,247,240,232,223,213,205,196,187,179,173,169,167,166,163,158,154,150,145,140,137,134,132,131,130,130,130,130,130,130,130
SUR,Suriname,America,Northern Hemisphere,High,LAC,99,210,226,251,282,276,236,197,185,198,214,221,218,207,189,176,164,165,167,169,159,148,139,134,129,124,122,121,120,120,120,120,120
SVK,Slovakia,Europe,Northern Hemisphere,Very High,,45,12,12,11,10,10,9,9,9,9,8,8,8,7,7,7,7,6,7,6,6,6,6,6,6,5,6,6,5,5,5,5,5
SVN,Slovenia,Europe,Northern Hemisphere,Very High,,23,12,13,14,13,14,13,13,12,12,12,12,10,11,10,11,10,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7
SWE,Sweden,Europe,Northern Hemisphere,Very High,,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4,4,4,4,4
SWZ,Eswatini,Africa,Southern Hemisphere,Medium,SSA,144,576,558,544,529,515,503,500,501,506,511,521,528,534,538,539,532,518,496,474,460,450,441,435,432,434,435,436,437,437,437,437,437
SYC,Seychelles,Africa,Southern Hemisphere,High,SSA,72,57,55,54,53,52,52,52,54,53,53,53,54,54,54,55,55,55,55,55,55,55,55,55,55,55,54,54,53,53,53,53,53
SYR,Syrian Arab Republic,Asia,Northern Hemisphere,Medium,AS,150,42,39,36,34,32,31,29,28,27,26,26,26,26,25,26,25,26,26,26,26,27,28,28,29,30,30,30,31,31,31,31,31
TCD,Chad,Africa,Northern Hemisphere,Low,SSA,190,1340,1300,1340,1310,1330,1330,1320,1340,1350,1380,1420,1410,1400,1370,1350,1330,1340,1300,1310,1270,1240,1210,1190,1170,1170,1160,1140,1140,1140,1140,1140,1140
TGO,Togo,Africa,Northern Hemisphere,Low,SSA,162,528,531,530,528,524,516,505,498,492,490,489,489,489,489,488,492,482,480,473,458,440,422,410,404,401,398,395,396,396,396,396,396
THA,Thailand,Asia,Northern Hemisphere,Very High,EAP,66,38,37,36,36,36,37,38,40,41,42,43,43,44,44,46,43,42,42,43,43,42,41,39,39,38,38,37,37,37,37,37,37
TJK,Tajikistan,Asia,Northern Hemisphere,Medium,ECA,122,77,78,85,83,109,104,95,82,74,58,53,52,43,35,33,32,29,27,26,26,23,22,21,20,19,18,17,17,17,17,17,17
TKM,Turkmenistan,Asia,Northern Hemisphere,High,ECA,91,68,70,66,64,61,55,55,47,41,33,29,27,25,21,20,18,18,15,13,12,10,10,9,9,8,8,8,7,7,7,7,7
TLS,Timor-Leste,Asia,Southern Hemisphere,Medium,EAP,140,1360,1350,1320,1270,1200,1100,998,919,850,792,745,720,668,603,507,415,348,300,269,242,219,198,185,176,168,160,152,142,142,142,142,142
TON,Tonga,Oceania,Southern Hemisphere,High,EAP,91,94,94,93,92,91,89,87,85,82,80,77,73,71,69,67,66,64,62,60,61,57,56,56,56,55,54,53,52,52,52,52,52
TTO,Trinidad and Tobago,America,Northern Hemisphere,Very High,LAC,57,104,96,88,93,102,93,88,88,86,82,81,78,74,75,76,76,73,65,72,74,71,72,71,70,69,68,68,67,67,67,67,67
TUN,Tunisia,Africa,Northern Hemisphere,High,AS,97,136,124,113,105,96,88,82,76,72,69,66,63,60,57,54,51,49,47,47,46,46,46,46,46,46,46,45,43,43,43,43,43
TUR,Turkey,Asia,Northern Hemisphere,Very High,ECA,48,66,62,60,58,56,52,50,48,46,45,42,41,39,38,35,33,30,28,27,25,24,23,22,20,19,19,18,17,17,17,17,17
TUV,Tuvalu,Oceania,Southern Hemisphere,Medium,EAP,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TZA,Tanzania,Africa,Southern Hemisphere,Low,SSA,160,1030,1030,1030,1020,1010,990,968,944,921,889,854,819,788,763,741,721,703,685,666,656,644,628,615,593,574,556,539,524,524,524,524,524
UGA,Uganda,Africa,Northern Hemisphere,Low,SSA,166,735,727,709,696,683,670,663,653,627,602,578,550,537,520,512,491,473,465,455,442,430,419,412,401,394,387,381,375,375,375,375,375
UKR,Ukraine,Europe,Northern Hemisphere,High,ECA,77,45,44,45,46,48,52,49,43,38,37,35,33,33,32,33,33,31,33,33,27,25,23,24,23,24,21,20,19,19,19,19,19
URY,Uruguay,America,Southern Hemisphere,Very High,LAC,58,38,42,36,36,34,33,30,29,28,25,26,25,25,23,23,22,20,20,19,19,17,17,17,18,17,18,18,17,17,17,17,17
