Title,Available Globally?,Release Date,Hours Viewed,,
The Office (U.S.): Season 5,No,,"50,100,000",,
2 Hearts,No,,"50,000,000",,
Suits (2011): Season 6,Yes,,"50,000,000",,
Tin & Tina,Yes,2023-05-26,"49,700,000",,
The Blacklist: Season 6,No,,"49,600,000",,
Friends (1994): Season 6,No,,"49,400,000",,
Love Is Blind: Brazil: Season 2 // Casamento às Cegas: Brasil: Temporada 2,Yes,2022-12-28,"49,300,000",,
VINLAND SAGA: Season 1 // ヴィンランド・サガ: シーズン1,Yes,,"49,300,000",,
"Newly Rich, Newly Poor: Season 1 // Nuevo rico, nuevo pobre: Temporada 1",No,,"49,200,000",,
The Lincoln Lawyer: Season 1,Yes,2022-05-13,"49,200,000",,
Brooklyn Nine-Nine: Season 4,No,,"48,900,000",,
Cobra Kai: Season 5,Yes,2022-09-09,"48,900,000",,
Orange Is the New Black: Season 1,Yes,2013-07-11,"48,800,000",,
El final del paraíso: Season 1,No,,"48,600,000",,
Shooter: Season 1,No,2016-11-16,"48,600,000",,
Brooklyn Nine-Nine: Season 5,No,,"48,500,000",,
Rosario Tijeras (Mexico): Season 1,No,,"48,500,000",,
The Smurfs (2021): Season 1,No,,"48,400,000",,
Emily in Paris: Season 1,Yes,2020-10-02,"48,300,000",,
The Magician's Elephant,Yes,2023-03-17,"48,300,000",,
Friends (1994): Season 5,No,,"48,200,000",,
Shrek,No,,"48,100,000",,
Suits (2011): Season 7,Yes,,"48,100,000",,
Teen Titans Go!: Season 5,No,,"48,100,000",,
American Manhunt: The Boston Marathon Bombing: Limited Series,Yes,2023-04-12,"47,900,000",,
Twenty Five Twenty One: Season 1 // 스물다섯 스물하나: 시즌 1,Yes,2022-02-12,"47,800,000",,
Shrek 2,No,,"47,500,000",,
JUNG_E // 정이,Yes,2023-01-20,"47,100,000",,
Friends (1994): Season 3,No,,"46,900,000",,
The School for Good and Evil,Yes,2022-10-19,"46,900,000",,
Puss in Boots (2011),No,,"46,600,000",,
The Thundermans: Season 2,No,,"46,500,000",,
Friends (1994): Season 1,No,,"46,400,000",,
Teen Titans Go!: Season 1,No,,"46,400,000",,
Rana Naidu: Season 1 // राणा नायडू: सीज़न 1,Yes,2023-03-10,"46,300,000",,
From Scratch: Limited Series,Yes,2022-10-21,"46,200,000",,
Bake Squad: Season 2,Yes,2023-01-20,"46,100,000",,
Friends (1994): Season 7,No,,"46,100,000",,
Under the Queen's Umbrella: Limited Series // 슈룹: 리미티드 시리즈,Yes,2022-10-15,"46,100,000",,
Ganglands: Season 2 // Braqueurs : La série: Saison 2,Yes,2023-02-17,"46,000,000",,
