Rank,Active Mil Personnel,Reserve Mil Personnel ,Paramilitary ,Air Force Personnel,Army Personnel,Navy Personnel,Total Aircraft,Fighter Aircrafts,Attack Type Aircrafts,Helicopters,Attack Helicopteres,Tanks,Self-Propelled Artillerry,Towed Artillery,Rocket Artillery,Aircraft Carriers,Destroyers,Frigates,Corvettes,Submarines,Patrol Vessels,Mine Warfare,Purchasing Power Parity ,Defense Budget
"43                
             
			
				
                	
						Colombia                    
                
				
                	
						COL                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.7011","360,000","845,000","185,000","25,000","180,000","35,000"," 465			

				Readiness: 279*"," 17 (3.7%)
            	

                	Readiness: 10*"," 38 (8.2%)
            	

                	Readiness: 23*"," 211 (45.4%)
            	

                	Readiness: 127*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0				

					Readiness: 0*"," 6				

					Readiness: 4*"," 110				

					Readiness: 72*"," 0				

					Readiness: 0*",0,0,9,2,4,53,0,"$685,000,000,000 USD","$8,139,000,000 USD"
"42                
             
			
				
                	
						Malaysia                    
                
				
                	
						MLY                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.6189","85,000","52,000","100,000","15,000","80,000","15,000"," 147			

				Readiness: 103*"," 26 (17.7%)
            	

                	Readiness: 18*"," 12 (8.2%)
            	

                	Readiness: 8*"," 43 (29.3%)
            	

                	Readiness: 30*"," 0 (0.0%)
            	

                	Readiness: 0*"," 48				

					Readiness: 34*"," 0				

					Readiness: 0*"," 196				

					Readiness: 137*"," 54				

					Readiness: 38*",0,0,3,6,2,29,4,"$855,600,000,000 USD","$2,593,874,880 USD"
"41                
             
			
				
                	
						Portugal                    
                
				
                	
						POR                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.6116","27,000","211,700","24,700","6,000","15,500","9,000"," 104			

				Readiness: 73*"," 28 (26.9%)
            	

                	Readiness: 20*"," 0 (0.0%)
            	

                	Readiness: 0*"," 27 (26.0%)
            	

                	Readiness: 19*"," 0 (0.0%)
            	

                	Readiness: 0*"," 37				

					Readiness: 28*"," 24				

					Readiness: 18*"," 82				

					Readiness: 62*"," 0				

					Readiness: 0*",0,0,5,2,2,20,0,"$432,063,000,000 USD","$4,908,900,000 USD"
"40                
             
			
				
                	
						Bangladesh                    
                
				
                	
						BNG                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.5871","165,000",0,"6,800,000","21,100","175,000","30,000"," 204			

				Readiness: 102*"," 44 (21.6%)
            	

                	Readiness: 22*"," 0 (0.0%)
            	

                	Readiness: 0*"," 65 (31.9%)
            	

                	Readiness: 33*"," 0 (0.0%)
            	

                	Readiness: 0*"," 281				

					Readiness: 183*"," 30				

					Readiness: 20*"," 370				

					Readiness: 241*"," 70				

					Readiness: 46*",0,0,7,6,2,30,5,"$800,000,000,000 USD","$3,890,400,000 USD"
"39                
             
			
				
                	
						Netherlands                    
                
				
                	
						NTH                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.5801","35,000","5,000","5,000","6,550","24,000","7,500"," 136			

				Readiness: 102*"," 29 (21.3%)
            	

                	Readiness: 22*"," 18 (13.2%)
            	

                	Readiness: 14*"," 64 (47.1%)
            	

                	Readiness: 48*"," 24 (17.6%)
            	

                	Readiness: 18*"," 18				

					Readiness: 14*"," 49				

					Readiness: 37*"," 23				

					Readiness: 17*"," 0				

					Readiness: 0*",0,0,6,0,4,4,6,"$945,480,000,000 USD","$15,751,000,000 USD"
"38                
             
			
				
                	
						Myanmar                    
                
				
                	
						MYA                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.5768","400,000",0,"50,000","15,000","300,000","16,000"," 280			

				Readiness: 182*"," 55 (19.6%)
            	

                	Readiness: 36*"," 21 (7.5%)
            	

                	Readiness: 14*"," 80 (28.6%)
            	

                	Readiness: 52*"," 9 (3.2%)
            	

                	Readiness: 6*"," 715				

					Readiness: 465*"," 230				

					Readiness: 150*"," 1,869				

					Readiness: 1,215*"," 586				

					Readiness: 381*",0,0,5,3,2,124,2,"$247,240,000,000 USD","$2,285,700,000 USD"
"37                
             
			
				
                	
						Sweden                    
                
				
                	
						SWE                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.5679","16,000",0,"22,000","3,000","7,000","2,100"," 205			

				Readiness: 174*"," 71 (34.6%)
            	

                	Readiness: 60*"," 0 (0.0%)
            	

                	Readiness: 0*"," 53 (25.9%)
            	

                	Readiness: 45*"," 0 (0.0%)
            	

                	Readiness: 0*"," 121				

					Readiness: 103*"," 48				

					Readiness: 41*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*",0,0,0,7,5,298,9,"$524,750,000,000 USD","$6,384,089,200 USD"
"36                
             
			
				
                	
						Nigeria                    
                
				
                	
						NGA                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.5587","135,000",0,"80,000","18,000","80,000","2,500"," 144			

				Readiness: 86*"," 14 (9.7%)
            	

                	Readiness: 8*"," 24 (16.7%)
            	

                	Readiness: 14*"," 52 (36.1%)
            	

                	Readiness: 31*"," 15 (10.4%)
            	

                	Readiness: 9*"," 177				

					Readiness: 115*"," 30				

					Readiness: 20*"," 339				

					Readiness: 220*"," 37				

					Readiness: 24*",0,0,1,0,0,109,2,"$1,013,530,000,000 USD","$3,484,633,740 USD"
"35                
             
			
				
                	
						Norway                    
                
				
                	
						NOR                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.5289","23,000",0,"40,000","3,700","20,000","4,000"," 100			

				Readiness: 75*"," 0 (0.0%)
            	

                	Readiness: 0*"," 24 (24.0%)
            	

                	Readiness: 18*"," 38 (38.0%)
            	

                	Readiness: 29*"," 0 (0.0%)
            	

                	Readiness: 0*"," 52				

					Readiness: 42*"," 57				

					Readiness: 46*"," 0				

					Readiness: 0*"," 12				

					Readiness: 10*",0,0,4,6,6,17,6,"$342,060,000,000 USD","$7,200,000,000 USD"
"34                
             
			
				
                	
						North Korea                    
                
				
                	
						NKO                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.5118","1,200,000","600,000","200,000","110,000","850,000","60,000"," 947			

				Readiness: 474*"," 458 (48.4%)
            	

                	Readiness: 229*"," 114 (12.0%)
            	

                	Readiness: 57*"," 205 (21.6%)
            	

                	Readiness: 103*"," 20 (2.1%)
            	

                	Readiness: 10*"," 6,645				

					Readiness: 3,987*"," 5,000				

					Readiness: 3,000*"," 5,000				

					Readiness: 3,000*"," 2,920				

					Readiness: 1,752*",0,0,1,4,35,169,1,"$38,500,000,000 USD","$4,500,000,000 USD"
