channel,title,published_at,duration,view_count,like_count,comment_count
Tips Official,"Is Tarah Aashiqui Ka - (Official Video) Siddharth Gupta, Zaara Y | Dev Negi | Chirantann B | Manoj Y",2021-07-12T06:30:14Z,PT4M19S,42782962,373513,15272
Tips Official,Ek Dil Hai - Lyrical | Ek Rishtaa | Akshay Kumar | Karisma Kapoor | Alka Yagnik | Kumar Sanu,2022-05-18T04:30:04Z,PT5M11S,42390958,173537,3591
Tips Official,"Jaan Audio Jukebox | Ajay Devgan, Twinkle Khanna, Anand Milind | Bollywood Hits",2017-03-31T06:30:00Z,PT47M30S,42267957,99984,6107
Tips Official,"Yai Re | Yo Yo Honey Singh, Iulia Vantur | Mihir Gulati | Honey Singh Remake Songs | Party Song",2022-12-17T15:28:40Z,PT4M24S,41073614,1096870,61062
Tips Official,Kitna Pyaara Hai - Video Song | Raaz | Bipasha Basu & Dino Morea | Alka Yagnik & Udit Narayan,2010-02-22T07:49:02Z,PT2M32S,41070241,158380,2616
Tips Official,"Genius Official Trailer | Utkarsh Sharma, Ishita, Nawazuddin | Anil Sharma | Bollywood Movie 2018",2018-07-24T06:45:15Z,PT3M21S,40839689,286422,13145
Tips Official,"Heeriye Song Lyrical Video - Race 3 | Salman Khan, Jacqueline | Meet Bros ft.Deep Money, Neha Bhasin",2018-05-22T06:30:01Z,PT5M32S,40651575,256326,12991
Tips Official,Jeene Laga Hoon Song Video | Ramaiya Vastavaiya | Girish Kumar & Shruti Haasan | Atif & Shreya,2013-05-11T06:30:05Z,PT2M8S,40335914,208252,8357
Tips Official,"Tujhse Kahan Juda Hoon Main Lyrical - Genius | Utkarsh Sharma, Ishita | Himesh, Neeti Mohan, Vineet",2018-08-31T11:05:29Z,PT5M9S,39965239,287010,9177
Tips Official,"Taal Se Taal Lyrical - Taal | Aishwarya Rai, Akshaye Khanna, Anil Kapoor |A R Rahman | Anand Bakshi",2018-08-14T06:30:26Z,PT6M51S,39508775,303851,6076
Tips Official,Lat Lag Gayee  Song - Race 2 | Saif Ali Khan & Jacqueline | Benny Dayal & Shalmali | Pritam | Tips,2012-12-27T04:30:48Z,PT2M22S,38633415,65303,5782
Tips Official,Race 3 Official Trailer | Salman Khan | Remo D'Souza | Bollywood Movie 2018 | #Race3ThisEID,2018-05-15T11:45:00Z,PT3M32S,38367349,511921,55769
Tips Official,"Haan Maine Bhi Pyaar Kiya Jukebox - Full Album Songs | Akshay Kumar, Karisma Kapoor, Abhishek",2015-03-02T05:45:54Z,PT54M23S,36383563,117168,6849
Tips Official,"Chaha Hai Tujhko | Pearl V Puri, Sanjeeda Shaikh | Sanjeev Rathod | Sanjeev-Darshan | Arvindr Khaira",2022-08-25T05:30:13Z,PT4M43S,35889769,682977,28348
Tips Official,Kitne Dino Ke Baad Mile Ho - Lyrical | Govinda | Mamta Kulkarni | Alka Yagnik | Kumar Sanu | Andolan,2021-07-27T09:30:05Z,PT5M27S,35907702,96361,1281
Tips Official,"Jaana Ve Full Song Video - Aksar 2 | Arijit Singh, Mithoon | Zareen Khan, Abhinav | Bollywood Song",2018-08-01T11:07:20Z,PT4M5S,35727027,300729,5142
Tips Official,"Tujhse Kahan Juda Hoon Main | Genius | Utkarsh Sharma, Ishita | Himesh,  Neeti, Vineet | Love Songs",2018-08-27T13:22:42Z,PT3M1S,35374627,279470,8181
Tips Official,"Rang Jo Lagyo (Special Edition) - Ramaiya Vastavaiya | Girish Kumar, Shruti Haasan | Atif & Shreya",2013-10-05T11:32:05Z,PT4M8S,35211790,418040,5328
Tips Official,Woh Kisna Hai - Lyrical | Krishna Janmashtami Special | Sukhwinder Singh | Kisna,2019-01-17T09:28:34Z,PT6M11S,34556811,336802,5284
Tips Official,Ek Bewafaa - Full Song | Sameer Khan | Siddharth Gupta | Krystle D Souza | Bharat Goel | Kaushal K,2021-05-05T10:00:16Z,PT3M53S,34349853,359686,17603
Tips Official,Tu Na Jaa Mere Baadshah Lyrical-  Khuda Gawah | Amitabh Bachchan & Sridevi | Alka  & Mohammad,2018-10-13T06:30:00Z,PT5M35S,33266397,215233,3925
Tips Official,90's Sad Song | Khali Dil Nahin | Kachche Dhaage | Ajay Devgan | Alka Yagnik | Hans Raj Hans,2019-01-19T09:17:17Z,PT2M52S,32952091,121630,2171
Tips Official,"Dil Hai Tumhaara Jukebox | Arjun Rampal, Preity Zinta, Nadeem Shravan",2014-12-08T05:30:02Z,PT43M43S,32727567,103779,8067
Tips Official,"OLE OLE 2.0 - Jawaani Jaaneman | Saif Ali Khan | Tabu | Alaya F | Amit Mishra, Tanishk Bagchi",2020-01-22T06:30:01Z,PT1M50S,32673978,320418,21528
Tips Official,Piya O Re Piya (Sad) - Video Song | Tere Naal Love Ho Gaya | Riteish Deshmukh & Genelia D'Souza,2012-03-06T07:03:54Z,PT2M11S,32563117,392906,6360
Tips Official,Audio Jukebox | Soldier Movie | Bobby Deol | Preity Zinta | Anu Malik | Sameer | 90s Bollywood Hits,2014-01-03T10:41:43Z,PT47M43S,32312448,107378,4485
Tips Official,"Holi Biraj Ma  Song Video - Genius | Utkarsh Sharma, Ishita | Jubin Nautiyal, Himesh Reshammiya",2018-08-06T04:30:02Z,PT3M5S,32114738,306710,8799
Tips Official,"Mera Mann (Lyrical Video) | Aamir Khan | Manisha Koirala | Udit N, Alka Y | Mann Movie | Tips",2021-03-13T09:30:04Z,PT4M47S,31695447,146444,1464
Tips Official,Teri Meri Kahani OFFICIAL Song - Happy Hardy And Heer | Himesh Reshammiya & Ranu Mondal | Sonia Mann,2019-09-11T08:30:14Z,PT5M17S,31070501,572568,26634
Tips Official,Jhuki Jhuki Nazar Teri Kamaal - Lyrical | Raja | Madhuri Dixit | Sanjay | Alka Yagnik | Udit Narayan,2022-05-12T04:30:18Z,PT7M20S,30901703,201171,2667
Tips Official,"Gallan Kardi - Jawaani Jaaneman | Saif Ali Khan, Tabu, Alaya F|Jazzy B, Jyotica, Mumzy, Prem-Hardeep",2020-01-15T09:29:41Z,PT1M52S,30207385,382261,17956
Tips Official,"Heeriye Official Song- Happy Hardy And Heer | Himesh Reshammiya, Arijit Singh, Shreya Ghoshal |Sonia",2019-07-23T06:00:10Z,PT3M53S,29328462,322802,6875
Tips Official,"Aashayein Lyrical Song Video - Iqbal | Naseeruddin Shah, Shreyas Talpade | KK & Salim Merchant",2018-08-26T14:00:44Z,PT4M47S,29264593,388664,11783
Tips Official,"Shake That Booty - Video Song | Balwinder Singh Famous Ho Gaya | Mika Singh, Sunny Leone",2014-08-18T09:31:48Z,PT2M50S,28928436,124664,2148
Tips Official,Atif Hit Story - Audio Jukebox - Best Atif Aslam Songs Non Stop,2013-11-12T05:59:37Z,PT57M46S,28794723,94792,5119
Tips Official,"Mar Jaayen - Lyrical Vídeo | Loveshhuda | Girish, Navneet | Atif, Mithoon",2015-12-15T06:30:10Z,PT4M27S,28615994,388457,9178
Tips Official,"Ishq Bina Lyrical - Taal | Aishwarya Rai, Akshaye Khanna, Anil Kapoor | A R Rahman",2020-01-06T05:30:00Z,PT7M42S,28597038,171920,3268
Tips Official,"Tujhe Dekhen Meri Aankhen | Dipika K Ibrahim, Shoaib Ibrahim | Mamta Sharma, Sameer Khan",2022-10-21T06:30:06Z,PT3M22S,28250896,338149,12395
Tips Official,"Khali Dil Nahi Jaan Bhi | Kachche Dhaage | Alka Yagnik, Hans Raj Hans | Nusrat Fateh Ali Khan",2010-02-08T23:43:14Z,PT4M48S,28186070,92254,3191
Tips Official,"Hum Pyaar Hai Tumhare - Lyrical | Haan Maine Bhi Pyaar Kiya | Kumar Sanu, Alka Yagnik | Love Songs",2023-02-22T12:30:00Z,PT7M8S,28244645,131767,2680
Tips Official,"Mujhe Pyaar Pyaar Hai | Bhoot Police | Arjun Kapoor, Yami G | Armaan Malik, Shreya G | Sachin-Jigar",2021-09-04T06:30:13Z,PT2M46S,28138876,153910,54127
Tips Official,"Party Chale On Song Video - Race 3 | Salman Khan | Mika Singh, Iulia Vantur | Vicky-Hardik",2018-06-08T06:28:12Z,PT2M36S,27878822,185928,15347
Tips Official,"Maine Apna Dil De Diya - Lyrical | Bandish | Jackie, Juhi | Kumar Sanu, Alka Yagnik | 90's Hits",2022-12-21T04:30:10Z,PT5M1S,27541026,59123,589
Tips Official,"Jhanjhar Song Video - Jihne Mera Dil Luteya | Gippy Grewal, Diljit Dosanjh & Neeru Bajwa",2011-08-30T16:40:13Z,PT4M2S,25556077,109553,2034
Tips Official,Dulhan Hum Le Jaayenge - Video Song | Dulhan Hum Le Jaayenge | Salman Khan & Karisma Kapoor,2011-06-20T11:58:59Z,PT4M35S,25435141,108272,2938
Tips Official,"Yeh Jo Teri Payalon Ki Chan Chan Hai - Lyrical | Ayesha J, Inder K | Abhijeet B, Sadhana S | Masoom",2021-10-15T09:30:07Z,PT5M12S,25031812,68480,751
Tips Official,"Gupt Jukebox - Full Album Songs - Bobby Deol, Kajol, Manisha, Viju Shah | 90's Hits",2014-10-20T05:30:01Z,PT43M54S,24970099,105183,6221
Tips Official,Mere Khwabon Mein Jo Aaye | Alka Yagnik | Bobby Deol | Preity Zinta | Soldier Movie| 90s Hindi Song,2019-03-02T08:16:56Z,PT2M24S,24698505,74686,1141
Tips Official,"Main Sehra Bandh Ke Aaunga | Aamir Khan, Madhuri Dixit | Udit Narayan | Deewana Mujh Sa Nahin (1994)",2021-12-17T05:46:31Z,PT6M31S,24536064,142695,3993
Tips Official,Soorat Pe Teri Pyar Aave Full Video - Footpath | Emraan & Aftab | Hema Sardesai & K.K,2009-12-08T14:33:19Z,PT5M6S,23978555,90948,2385
Tips Official,"Bindiya Bole - Lyrical | Raghuveer | Suniel Shetty | Shilpa Shirodkar | Alka Yagnik, Sukhwinder",2022-05-19T04:30:08Z,PT5M57S,23925415,42419,508
Tips Official,"Zara Zara Touch Me Lyrical- Race | Katrina Kaif, Saif Ali Khan | Monali Thakur | Pritam",2018-11-03T05:40:36Z,PT5M8S,23277616,173647,3093
Tips Official,"Bhangra Paa Le  - Bhangra Paa Le | Sunny Kaushal, Rukshar Dhillon | Mandy Gill | Shubham Shirule",2019-10-09T06:30:04Z,PT3M35S,23255753,167286,3335
Tips Official,"Choli Ke Peeche Lyrical - Khalnayak | Sanjay Dutt, Jackie, Madhuri Dixit | Alka Yagnik, Ila Arun",2018-08-07T07:32:21Z,PT9M10S,23060451,138665,2179
Tips Official,Mangta Hai Kya | Aditya Seal | Palak Tiwari | Ganesh Acharya | Aditya N | Deeksha T | Chirantan B,2022-04-22T09:37:09Z,PT3M27S,22645939,176260,9295
Tips Official,"Jo Pyaar Karta Hai Full Video -Yeh Raaste Hain Pyaar Ke | Ajay Devgn, Madhuri Dixit, Preity Zinta",2011-08-24T07:06:47Z,PT6M33S,22480273,76577,2583
Tips Official,Raat Gayi So Baat Gayi | Bhoot Police | Saif Ali Khan | Jacqueline | Vishal D | Asees | Sachin-Jigar,2021-09-16T06:30:20Z,PT3M41S,22409097,142965,3041
Tips Official,Raaton Ko Uth Uthkar - Official Video Song | Ishq Na Dekhe Zaat | Gurdas Maan,2010-05-13T08:26:04Z,PT7M40S,21859830,155531,4541
Tips Official,Rab Ko Yaad Karu Lyrical - Khuda Gawah  | Kavita Krishnamurthy & Mohammed Aziz,2019-07-02T05:52:11Z,PT9M24S,21753790,94632,1958
Tips Official,"Tere Pyar Mein Main Marjawan | Hogi Pyar Ki Jeet | Ajay Devgn, Neha | Jaspinder Narula, Roop Kumar",2022-05-07T10:30:07Z,PT4M19S,21399100,109512,862
Tips Official,Meri Mehbooba Lyrical - Pardes | Shahrukh Khan & Mahima | Kumar Sanu & Alka Yagnik | Shahrukh Hits,2018-08-08T13:35:00Z,PT7M29S,21236690,129116,2208
Tips Official,"O Saathi - Video Song | Shab | Raveena Tandon, Arpita, Ashish | Arijit Singh, Mithoon",2017-07-06T08:17:23Z,PT4M2S,20391537,311781,5467
