title,published_at,duration,view_count
"""All Too Well"" Song Preview from RED - Now Available",2012-10-24T18:49:35Z,PT1M42S,133780
"""Treacherous"" Song Preview from RED - Now Available",2012-10-23T21:45:45Z,PT1M17S,182363
Wonderstruck Enchanted Taylor Swift Chapter 3,2012-09-20T20:27:33Z,PT31S,548645
Win A Taylor Swift Performance on Your Campus!,2012-08-21T15:49:27Z,PT26S,336402
Taylor Swift Web Chat and G+ Hangout,2012-08-14T00:09:50Z,PT24M55S,1900122
Taylor Swift Live Webcast on YouTube - 8/13 @ 7pm ET,2012-08-07T13:52:38Z,PT29S,1006600
Taylor Swift Billboard Woman of the Year,2012-06-04T17:04:19Z,PT5M27S,985429
Wonderstruck Taylor Swift Chapter 2,2012-04-24T14:50:46Z,PT31S,915312
My new favorite thing ... thank you!,2012-04-02T03:49:00Z,PT30S,1176669
Meredith learns about ACM voting...,2012-03-19T16:14:35Z,PT1M39S,1917755
"""Ours"" Behind-the-Scenes - The Office",2011-12-19T02:51:06Z,PT4M36S,279830
"""Ours"" Behind-the-Scenes - That's a Wrap",2011-12-16T22:35:51Z,PT2M7S,166906
"""Ours"" Behind-the-Scenes - Working with Taylor",2011-12-16T22:21:12Z,PT2M22S,157770
"""Ours"" Behind-the-Scenes - Message of Ours",2011-12-16T22:10:23Z,PT1M50S,266832
"""Ours"" Behind-the-Scenes - The Inspiration",2011-12-16T22:08:33Z,PT1M43S,116293
"""Ours"" Behind-the-Scenes - Director Casting",2011-12-13T21:05:40Z,PT2M28S,99944
"""Ours"" Behind-the-Scenes - Home Movies",2011-12-13T20:50:44Z,PT1M54S,134318
"""Ours"" Behind-the-Scenes - Taylor's Look",2011-12-09T23:00:19Z,PT2M13S,196601
"""Ours"" Behind-the-Scenes - Locations",2011-12-09T22:47:48Z,PT2M24S,94633
"""Ours"" Behind-the-Scenes - Zach",2011-12-09T18:38:29Z,PT1M58S,182354
"""Ours"" Behind-the-Scenes - ""The Story of the Video""",2011-12-08T21:06:20Z,PT1M50S,129762
"""Ours"" Behind-the-Scenes - The Director",2011-12-07T23:04:15Z,PT1M56S,161519
"""Ours"" Behind-the-Scenes - We're Making a Video",2011-12-07T22:23:13Z,PT2M8S,150241
Speak Now World Tour Live CD/DVD - Available Now!,2011-11-22T17:54:03Z,PT1M28S,245152
"Taylor Talks Hugging Fans - 60 Minutes, Sunday Nov 21 @ 7/6c CBS",2011-11-19T00:11:40Z,PT1M25S,195327
Taylor Swift on 60 Minutes - Nov 20 @ 7/6c CBS,2011-11-17T23:12:02Z,PT42S,297508
Taylor Swift WONDERSTRUCK In-Store Appearances,2011-11-17T17:38:19Z,PT2M3S,268985
Wonderstruck Taylor Swift Chapter 1,2011-09-29T00:24:46Z,PT33S,1655851
Taylor Swift WONDERSTRUCK Teaser,2011-09-21T22:10:38Z,PT40S,1188828
Speak Now World Tour Live CD+DVD,2011-09-21T14:27:30Z,PT1M12S,269283
Taylor Swift's Wonderstruck Fragrance,2011-09-16T15:11:21Z,PT50S,375264
YouTube Presents Taylor Swift,2011-09-02T01:04:34Z,PT42M33S,2464609
YouTube Presents Taylor Swift Q&A,2011-08-25T16:57:04Z,PT24S,320643
Thank you.,2011-04-04T05:00:50Z,PT32S,3208131
Asia! (my February video blog),2011-02-23T06:28:38Z,PT9M29S,2187843
"Taylor Swift Speak Now Fan Video : Stockhold, Sweden",2011-02-14T05:32:11Z,PT3M7S,206104
"Taylor Swift Speak Now Fan Video : Ajalvir (Madrid), Spain",2011-02-14T05:19:09Z,PT3M19S,87331
"Taylor Swift Speak Now Fan Video : San Diego, CA",2011-02-14T05:05:59Z,PT3M23S,114523
"Taylor Swift Speak Now Fan Video : Omaha, NE",2011-02-14T04:59:38Z,PT4M20S,47822
"Taylor Swift Speak Now Fan Video : Hampton, NJ",2011-02-14T04:39:17Z,PT3M57S,113519
"Taylor Swift Speak Now Fan Video : Nashville, TN",2011-02-14T04:33:28Z,PT3M57S,405447
"Taylor Swift Speak Now Fan Video : Minneapolis, MN",2011-02-14T04:08:07Z,PT3M1S,47815
"Taylor Swift Speak Now Fan Video : Chicago, IL",2011-02-14T03:50:44Z,PT3M32S,116910
"Taylor Swift Speak Now Fan Video : Oranga, NSW, Australia",2011-02-14T03:04:11Z,PT3M18S,77576
Taylor Swift Speak Now Fan Videos : Shot on a Bloggie,2011-02-14T03:00:29Z,PT4M16S,50997
Taylor Swift CoverGirl NatureLuxe,2011-01-06T17:52:21Z,PT31S,939018
Speak Now Deluxe Edition - Only at Target,2010-10-25T20:02:56Z,PT31S,1452674
Taylor Swift's 'Journey to Fearless' on The Hub,2010-10-19T23:10:37Z,PT31S,386528
A Hug From Taylor Swift - The Final Challenge,2010-06-02T18:44:29Z,PT5M6S,540117
Demonstrating my fine athletic skills. And more.,2010-04-26T19:58:31Z,PT5M33S,5615239
Taylor Swift Sony TX7 Cyber-shot Camera Commercial,2010-04-26T14:44:40Z,PT31S,1514548
A Hug From Taylor Swift - Challenge #3,2010-04-24T03:58:16Z,PT1M3S,1000396
Vote Taylor: ACM Entertainer of the Year,2010-04-02T03:59:52Z,PT3M31S,334551
A Hug From Taylor Swift - Challenge #2,2010-04-01T15:38:34Z,PT1M37S,1045912
A Hug From Taylor Swift - Challenge #1,2010-03-25T16:19:23Z,PT3M16S,869458
New conference table.,2010-03-12T16:10:46Z,PT31S,1318531
Fairytale Adventures in Australia and Japan.,2010-03-01T01:21:07Z,PT5M47S,892853
Behind-the-scenes in BAND HERO with Taylor!,2009-11-02T22:00:19Z,PT1M17S,921426
Taylor Swift In Band Hero,2009-10-01T18:26:46Z,PT2M3S,642475
Watching the CMA Announcements!,2009-09-09T20:04:29Z,PT3M21S,939889
Your world is my world.,2009-08-19T16:34:06Z,PT6M22S,1103356
Surprise! Taylor Wins 2 Teen Choice Awards!,2009-08-11T03:49:48Z,PT3M37S,438911
"Whisper hello, I miss you quite terribly.",2009-05-08T17:02:16Z,PT4M56S,5665993
Being on tour. Everyone ignores me.,2009-05-07T19:02:07Z,PT6M37S,2963911
FEARLESS Tour 2009,2009-04-24T21:26:31Z,PT2M23S,1018585
Thanksgiving break and The Academy Is...,2009-03-06T00:20:07Z,PT5M23S,640555
I hope it's gonna make you notice.,2009-03-05T23:28:03Z,PT5M8S,2868986
1 with a bullet.,2008-11-25T18:35:47Z,PT4M24S,801404
Retainers.,2008-11-17T21:25:40Z,PT59S,3195952
November 11th.,2008-11-17T20:58:44Z,PT5M51S,698965
You change your mind like a girl changes clothes.,2008-11-17T20:43:59Z,PT5M16S,1491472
