index,Month and Year,State,Civilian Population,Total Labor Force,Percent of Population,Employed - Total,Employed - Percent of Population,Unemployed - Total,Unemployed - Percent of Labor Force
1216,December 1977,Texas,9374000,6071388,64.8,5756351,61.4,315037,5.2
1217,December 1977,Utah,880000,551280,62.6,526306,59.8,24974,4.5
1218,December 1977,Vermont,355000,235042,66.2,220224,62.0,14818,6.3
1219,December 1977,Virginia,3709000,2446652,66.0,2315403,62.4,131249,5.4
1220,December 1977,Washington,2765000,1738785,62.9,1614224,58.4,124561,7.2
1221,December 1977,West Virginia,1404000,714042,50.9,664976,47.4,49066,6.9
1222,December 1977,Wisconsin,3341000,2212366,66.2,2102438,62.9,109928,5.0
1223,December 1977,Wyoming,296000,201868,68.2,195768,66.1,6100,3.0
1224,January 1978,Alabama,2720000,1590947,58.5,1487808,54.7,103139,6.5
1225,January 1978,Alaska,252000,179578,71.3,160129,63.5,19449,10.8
1226,January 1978,Arizona,1770000,1057365,59.7,985501,55.7,71864,6.8
1227,January 1978,Arkansas,1601000,941811,58.8,883454,55.2,58357,6.2
1228,January 1978,California,16540000,10674473,64.5,9867392,59.7,807081,7.6
1229,January 1978,Colorado,1961000,1316933,67.2,1237025,63.1,79908,6.1
1230,January 1978,Connecticut,2301000,1496835,65.1,1410761,61.3,86074,5.8
1231,January 1978,Delaware,432000,273820,63.4,253086,58.6,20734,7.6
1232,January 1978,District of Columbia,511000,333505,65.3,304642,59.6,28863,8.7
1233,January 1978,Florida,6850000,3863066,56.4,3590894,52.4,272172,7.0
1234,January 1978,Georgia,3692000,2364538,64.0,2228194,60.4,136344,5.8
1235,January 1978,Hawaii,617000,417633,67.7,385743,62.5,31890,7.6
1236,January 1978,Idaho,623000,410091,65.8,388522,62.4,21569,5.3
1237,January 1978,Illinois,8330000,5379483,64.6,5038595,60.5,340888,6.3
1238,January 1978,Indiana,3902000,2542724,65.2,2396136,61.4,146588,5.8
1239,January 1978,Iowa,2121000,1408457,66.4,1353965,63.8,54492,3.9
1240,January 1978,Kansas,1687000,1121333,66.5,1082411,64.2,38922,3.5
1241,January 1978,Kentucky,2562000,1563156,61.0,1484469,57.9,78687,5.0
1242,January 1978,Louisiana,2808000,1653280,58.9,1526600,54.4,126680,7.7
1243,January 1978,Maine,799000,477478,59.8,444224,55.6,33254,7.0
1244,January 1978,Maryland,3056000,2009684,65.8,1893274,62.0,116410,5.8
1245,January 1978,Massachusetts,4277000,2788534,65.2,2602710,60.9,185824,6.7
1246,January 1978,Michigan,6593000,4169021,63.2,3866844,58.7,302177,7.2
1247,January 1978,Minnesota,2887000,1938776,67.2,1856608,64.3,82168,4.2
1248,January 1978,Mississippi,1708000,1007243,59.0,934969,54.7,72274,7.2
1249,January 1978,Missouri,3561000,2254557,63.3,2128489,59.8,126068,5.6
1250,January 1978,Montana,559000,359023,64.2,335744,60.1,23279,6.5
1251,January 1978,Nebraska,1121000,750931,67.0,722516,64.5,28415,3.8
1252,January 1978,Nevada,511000,362466,70.9,345000,67.5,17466,4.8
1253,January 1978,New Hampshire,638000,426472,66.8,407775,63.9,18697,4.4
1254,January 1978,New Jersey,5470000,3402187,62.2,3138336,57.4,263851,7.8
1255,January 1978,New Mexico,854000,525877,61.6,493756,57.8,32121,6.1
1256,January 1978,New York,13248000,7787320,58.8,7143545,53.9,643775,8.3
1257,January 1978,North Carolina,4074000,2745260,67.4,2608349,64.0,136911,5.0
1258,January 1978,North Dakota,456000,290982,63.8,278083,61.0,12899,4.4
1259,January 1978,Ohio,7857000,4872244,62.0,4594565,58.5,277679,5.7
1260,January 1978,Oklahoma,2090000,1257135,60.2,1203949,57.6,53186,4.2
1261,January 1978,Oregon,1834000,1187112,64.7,1119458,61.0,67654,5.7
1262,January 1978,Pennsylvania,8912000,5241875,58.8,4860708,54.5,381167,7.3
1263,January 1978,Rhode Island,711000,448026,63.0,415491,58.4,32535,7.3
1264,January 1978,South Carolina,2092000,1338891,64.0,1258518,60.2,80373,6.0
1265,January 1978,South Dakota,489000,321235,65.7,311739,63.8,9496,3.0
1266,January 1978,Tennessee,3224000,1961297,60.8,1846818,57.3,114479,5.8
1267,January 1978,Texas,9398000,6090069,64.8,5778355,61.5,311714,5.1
1268,January 1978,Utah,882000,552766,62.7,528496,59.9,24270,4.4
1269,January 1978,Vermont,356000,235759,66.2,221265,62.2,14494,6.1
1270,January 1978,Virginia,3716000,2453621,66.0,2321822,62.5,131799,5.4
1271,January 1978,Washington,2773000,1749856,63.1,1628160,58.7,121696,7.0
1272,January 1978,West Virginia,1405000,714218,50.8,665842,47.4,48376,6.8
1273,January 1978,Wisconsin,3345000,2218507,66.3,2109032,63.1,109475,4.9
1274,January 1978,Wyoming,297000,203117,68.4,197111,66.4,6006,3.0
1275,February 1978,Alabama,2725000,1595067,58.5,1493428,54.8,101639,6.4
1276,February 1978,Alaska,253000,180374,71.3,160622,63.5,19752,11.0
1277,February 1978,Arizona,1776000,1058731,59.6,989151,55.7,69580,6.6
1278,February 1978,Arkansas,1604000,942076,58.7,884470,55.1,57606,6.1
1279,February 1978,California,16582000,10723892,64.7,9917174,59.8,806718,7.5
1280,February 1978,Colorado,1967000,1321494,67.2,1242209,63.2,79285,6.0
1281,February 1978,Connecticut,2303000,1497192,65.0,1414299,61.4,82893,5.5
1282,February 1978,Delaware,433000,274287,63.3,253556,58.6,20731,7.6
1283,February 1978,District of Columbia,510000,334109,65.5,305435,59.9,28674,8.6
1284,February 1978,Florida,6870000,3881476,56.5,3612889,52.6,268587,6.9
1285,February 1978,Georgia,3699000,2370815,64.1,2237483,60.5,133332,5.6
1286,February 1978,Hawaii,618000,417004,67.5,385889,62.4,31115,7.5
1287,February 1978,Idaho,624000,411338,65.9,390114,62.5,21224,5.2
1288,February 1978,Illinois,8337000,5388092,64.6,5048100,60.6,339992,6.3
1289,February 1978,Indiana,3907000,2550283,65.3,2403936,61.5,146347,5.7
1290,February 1978,Iowa,2123000,1411123,66.5,1356132,63.9,54991,3.9
1291,February 1978,Kansas,1689000,1124660,66.6,1086600,64.3,38060,3.4
1292,February 1978,Kentucky,2566000,1567269,61.1,1488114,58.0,79155,5.1
1293,February 1978,Louisiana,2813000,1658304,59.0,1532120,54.5,126184,7.6
1294,February 1978,Maine,800000,477685,59.7,445567,55.7,32118,6.7
1295,February 1978,Maryland,3060000,2014163,65.8,1900364,62.1,113799,5.6
1296,February 1978,Massachusetts,4281000,2792371,65.2,2610452,61.0,181919,6.5
1297,February 1978,Michigan,6601000,4172557,63.2,3878842,58.8,293715,7.0
1298,February 1978,Minnesota,2890000,1943417,67.2,1864157,64.5,79260,4.1
1299,February 1978,Mississippi,1711000,1007029,58.9,935051,54.6,71978,7.1
1300,February 1978,Missouri,3565000,2255062,63.3,2130805,59.8,124257,5.5
1301,February 1978,Montana,560000,360665,64.4,337629,60.3,23036,6.4
1302,February 1978,Nebraska,1123000,751583,66.9,723694,64.4,27889,3.7
1303,February 1978,Nevada,515000,364501,70.8,347724,67.5,16777,4.6
1304,February 1978,New Hampshire,640000,427551,66.8,409400,64.0,18151,4.2
1305,February 1978,New Jersey,5475000,3406882,62.2,3149507,57.5,257375,7.6
1306,February 1978,New Mexico,856000,527948,61.7,496405,58.0,31543,6.0
1307,February 1978,New York,13248000,7792592,58.8,7158808,54.0,633784,8.1
1308,February 1978,North Carolina,4082000,2746283,67.3,2615780,64.1,130503,4.8
1309,February 1978,North Dakota,457000,291302,63.7,278660,61.0,12642,4.3
1310,February 1978,Ohio,7863000,4880654,62.1,4606576,58.6,274078,5.6
1311,February 1978,Oklahoma,2094000,1260126,60.2,1207768,57.7,52358,4.2
1312,February 1978,Oregon,1839000,1191685,64.8,1125101,61.2,66584,5.6
1313,February 1978,Pennsylvania,8917000,5250607,58.9,4872529,54.6,378078,7.2
1314,February 1978,Rhode Island,712000,448111,62.9,416217,58.5,31894,7.1
1315,February 1978,South Carolina,2097000,1340562,63.9,1261946,60.2,78616,5.9
1316,February 1978,South Dakota,489000,321957,65.8,312572,63.9,9385,2.9
1317,February 1978,Tennessee,3229000,1962968,60.8,1849379,57.3,113589,5.8
1318,February 1978,Texas,9422000,6107801,64.8,5800680,61.6,307121,5.0
1319,February 1978,Utah,885000,554691,62.7,531154,60.0,23537,4.2
1320,February 1978,Vermont,357000,236439,66.2,222299,62.3,14140,6.0
1321,February 1978,Virginia,3724000,2461035,66.1,2329311,62.5,131724,5.4
1322,February 1978,Washington,2782000,1761323,63.3,1641513,59.0,119810,6.8
1323,February 1978,West Virginia,1406000,716197,50.9,669191,47.6,47006,6.6
1324,February 1978,Wisconsin,3349000,2224854,66.4,2115963,63.2,108891,4.9
1325,February 1978,Wyoming,298000,204360,68.6,198430,66.6,5930,2.9
1326,March 1978,Alabama,2730000,1600048,58.6,1500232,55.0,99816,6.2
1327,March 1978,Alaska,253000,180898,71.5,161004,63.6,19894,11.0
1328,March 1978,Arizona,1783000,1061661,59.5,993785,55.7,67876,6.4
1329,March 1978,Arkansas,1607000,942987,58.7,885955,55.1,57032,6.0
1330,March 1978,California,16623000,10775522,64.8,9967957,60.0,807565,7.5
1331,March 1978,Colorado,1973000,1326486,67.2,1248085,63.3,78401,5.9
1332,March 1978,Connecticut,2305000,1498791,65.0,1418461,61.5,80330,5.4
1333,March 1978,Delaware,433000,274961,63.5,254207,58.7,20754,7.5
1334,March 1978,District of Columbia,510000,334534,65.6,305968,60.0,28566,8.5
1335,March 1978,Florida,6891000,3899834,56.6,3633608,52.7,266226,6.8
1336,March 1978,Georgia,3706000,2379319,64.2,2246911,60.6,132408,5.6
1337,March 1978,Hawaii,619000,416525,67.3,386105,62.4,30420,7.3
1338,March 1978,Idaho,626000,412777,65.9,391706,62.6,21071,5.1
1339,March 1978,Illinois,8344000,5396456,64.7,5058245,60.6,338211,6.3
1340,March 1978,Indiana,3912000,2558808,65.4,2413013,61.7,145795,5.7
1341,March 1978,Iowa,2124000,1414044,66.6,1358924,64.0,55120,3.9
1342,March 1978,Kansas,1691000,1128169,66.7,1091121,64.5,37048,3.3
1343,March 1978,Kentucky,2570000,1571756,61.2,1492471,58.1,79285,5.0
1344,March 1978,Louisiana,2818000,1662127,59.0,1537683,54.6,124444,7.5
1345,March 1978,Maine,801000,478247,59.7,447139,55.8,31108,6.5
1346,March 1978,Maryland,3064000,2019750,65.9,1907834,62.3,111916,5.5
1347,March 1978,Massachusetts,4285000,2796729,65.3,2617592,61.1,179137,6.4
1348,March 1978,Michigan,6608000,4178021,63.2,3889834,58.9,288187,6.9
1349,March 1978,Minnesota,2894000,1948388,67.3,1871366,64.7,77022,4.0
1350,March 1978,Mississippi,1713000,1006864,58.8,934899,54.6,71965,7.1
1351,March 1978,Missouri,3569000,2254714,63.2,2133235,59.8,121479,5.4
1352,March 1978,Montana,561000,362440,64.6,339795,60.6,22645,6.2
1353,March 1978,Nebraska,1124000,752126,66.9,725193,64.5,26933,3.6
1354,March 1978,Nevada,518000,366570,70.8,350362,67.6,16208,4.4
1355,March 1978,New Hampshire,642000,428989,66.8,411296,64.1,17693,4.1
1356,March 1978,New Jersey,5480000,3415348,62.3,3161677,57.7,253671,7.4
